University,Industry Income-16,Industry Income-17,,,B2-C2,D2/B2,E2^2,,,
George Washington UniversityUnited States,29.5,32.9,,,-3.4,-0.1152542373,0.0132835392,,,0.1152542373
EÃ¶tvÃ¶s LorÃ¡nd UniversityHungary,29.3,32.9,,,-3.6,-0.1228668942,0.0150962737,,,0.1228668942
Paris Diderot University â€“ Paris 7France,29,32.9,,,-3.9,-0.1344827586,0.0180856124,,,0.1344827586
Hong Kong Baptist UniversityHong Kong,28.8,32.9,,,-4.1,-0.1423611111,0.020266686,,,0.1423611111
PalackÃ½ University in OlomoucCzech Republic,28.7,32.9,,,-4.2,-0.1463414634,0.0214158239,,,0.1463414634
University of the West of EnglandUnited Kingdom,28.5,32.9,,,-4.4,-0.1543859649,0.0238350262,,,0.1543859649
University of LatviaLatvia,28.3,32.9,,,-4.6,-0.1625441696,0.0264206071,,,0.1625441696
University of HuddersfieldUnited Kingdom,28,32.9,,,-4.9,-0.175,0.030625,,,0.175
University of NairobiKenya,28,32.9,,,-4.9,-0.175,0.030625,,,0.175
University of EssexUnited Kingdom,28.9,32.8,,,-3.9,-0.1349480969,0.0182109889,,,0.1349480969
Bar-Ilan UniversityIsrael,28.9,32.8,,,-3.9,-0.1349480969,0.0182109889,,,0.1349480969
De Montfort UniversityUnited Kingdom,28.5,32.8,,,-4.3,-0.150877193,0.0227639274,,,0.150877193
University of PardubiceCzech Republic,28.3,32.8,,,-4.5,-0.1590106007,0.0252843711,,,0.1590106007
Taras Shevchenko National University of KyivUkraine,28,32.8,,,-4.8,-0.1714285714,0.0293877551,,,0.1714285714
William & MaryUnited States,29.1,32.7,,,-3.6,-0.1237113402,0.0153044957,,,0.1237113402
University of Central LancashireUnited Kingdom,28.9,32.7,,,-3.8,-0.1314878893,0.017289065,,,0.1314878893
Liverpool John Moores UniversityUnited Kingdom,28.8,32.7,,,-3.9,-0.1354166667,0.0183376736,,,0.1354166667
University of SalfordUnited Kingdom,28.8,32.7,,,-3.9,-0.1354166667,0.0183376736,,,0.1354166667
University of Southern QueenslandAustralia,28.8,32.7,,,-3.9,-0.1354166667,0.0183376736,,,0.1354166667
Adam Mickiewicz UniversityPoland,28.7,32.7,,,-4,-0.1393728223,0.0194247836,,,0.1393728223
BabeÅŸ-Bolyai UniversityRomania,28.6,32.7,,,-4.1,-0.1433566434,0.0205511272,,,0.1433566434
University of La LagunaSpain,28.5,32.7,,,-4.2,-0.1473684211,0.0217174515,,,0.1473684211
University of WarsawPoland,28.5,32.7,,,-4.2,-0.1473684211,0.0217174515,,,0.1473684211
Kingston UniversityUnited Kingdom,28.5,32.7,,,-4.2,-0.1473684211,0.0217174515,,,0.1473684211
State University of New York AlbanyUnited States,28,32.7,,,-4.7,-0.1678571429,0.0281760204,,,0.1678571429
National University of Sciences and TechnologyPakistan,31.3,32.6,,,-1.3,-0.0415335463,0.0017250355,,,0.0415335463
Coventry UniversityUnited Kingdom,29.1,32.6,,,-3.5,-0.1202749141,0.014466055,,,0.1202749141
University of PortsmouthUnited Kingdom,28.9,32.6,,,-3.7,-0.1280276817,0.0163910873,,,0.1280276817
"Birkbeck, University of LondonUnited Kingdom",28.5,32.6,,,-4.1,-0.1438596491,0.0206955986,,,0.1438596491
The Open UniversityUnited Kingdom,28.4,32.6,,,-4.2,-0.1478873239,0.0218706606,,,0.1478873239
Hacettepe UniversityTurkey,28.2,32.6,,,-4.4,-0.1560283688,0.0243448519,,,0.1560283688
Paris-Sud UniversityFrance,28.8,32.5,,,-3.7,-0.1284722222,0.0165051119,,,0.1284722222
University of KentUnited Kingdom,28.8,32.5,,,-3.7,-0.1284722222,0.0165051119,,,0.1284722222
Sheffield Hallam UniversityUnited Kingdom,28.6,32.5,,,-3.9,-0.1363636364,0.0185950413,,,0.1363636364
Plymouth UniversityUnited Kingdom,28.5,32.5,,,-4,-0.1403508772,0.0196983687,,,0.1403508772
University of Nice Sophia AntipolisFrance,28.5,32.5,,,-4,-0.1403508772,0.0196983687,,,0.1403508772
UniversitÃ© du QuÃ©bec Ã  MontrÃ©alCanada,29.2,32.4,,,-3.2,-0.1095890411,0.0120097579,,,0.1095890411
Bournemouth UniversityUnited Kingdom,28.8,32.4,,,-3.6,-0.125,0.015625,,,0.125
University of South AfricaSouth Africa,28.8,32.4,,,-3.6,-0.125,0.015625,,,0.125
V.N. Karazin Kharkiv National UniversityUkraine,28.8,32.4,,,-3.6,-0.125,0.015625,,,0.125
University of Texas at San AntonioUnited States,28.6,32.4,,,-3.8,-0.1328671329,0.017653675,,,0.1328671329
University of East AngliaUnited Kingdom,28.5,32.4,,,-3.9,-0.1368421053,0.0187257618,,,0.1368421053
Kent State UniversityUnited States,28.5,32.4,,,-3.9,-0.1368421053,0.0187257618,,,0.1368421053
University of WestminsterUnited Kingdom,28.5,32.4,,,-3.9,-0.1368421053,0.0187257618,,,0.1368421053
PanthÃ©on-Sorbonne University â€“ Paris 1France,28.3,32.4,,,-4.1,-0.1448763251,0.0209891496,,,0.1448763251
Universiti Teknologi MARAMalaysia,28.3,32.4,,,-4.1,-0.1448763251,0.0209891496,,,0.1448763251
Charles University in PragueCzech Republic,28.2,32.4,,,-4.2,-0.1489361702,0.0221819828,,,0.1489361702
Comenius University in BratislavaSlovakia,28,32.4,,,-4.4,-0.1571428571,0.0246938776,,,0.1571428571
"University of Santiago, Chile (USACH)Chile",31,32.3,,,-1.3,-0.0419354839,0.0017585848,,,0.0419354839
Georgia State UniversityUnited States,28.7,32.3,,,-3.6,-0.1254355401,0.0157340747,,,0.1254355401
Oxford Brookes UniversityUnited Kingdom,28.4,32.3,,,-3.9,-0.1373239437,0.0188578655,,,0.1373239437
Nottingham Trent UniversityUnited Kingdom,28.4,32.3,,,-3.9,-0.1373239437,0.0188578655,,,0.1373239437
Manchester Metropolitan UniversityUnited Kingdom,28.3,32.3,,,-4,-0.1413427562,0.0199777747,,,0.1413427562
Panjab UniversityIndia,28.1,32.3,,,-4.2,-0.1494661922,0.0223401426,,,0.1494661922
University of BucharestRomania,29.5,32.2,,,-2.7,-0.0915254237,0.0083769032,,,0.0915254237
Paris-Sorbonne University â€“ Paris 4France,28.5,32.2,,,-3.7,-0.1298245614,0.0168544167,,,0.1298245614
Alexandru Ioan Cuza UniversityRomania,28.2,32.2,,,-4,-0.1418439716,0.0201197123,,,0.1418439716
Stellenbosch UniversitySouth Africa,100,32.1,,,67.9,0.679,0.461041,,,0.679
University of DelhiIndia,28.2,32.1,,,-3.9,-0.1382978723,0.0191263015,,,0.1382978723
Dublin Institute of TechnologyIreland,28.1,32.1,,,-4,-0.1423487544,0.0202631679,,,0.1423487544
University of Silesia in KatowicePoland,28.1,32.1,,,-4,-0.1423487544,0.0202631679,,,0.1423487544
Belarusian State UniversityBelarus,28,32.1,,,-4.1,-0.1464285714,0.0214413265,,,0.1464285714
University of Electronic Science and Technology of ChinaChina,28,32.1,,,-4.1,-0.1464285714,0.0214413265,,,0.1464285714
,,,,,,,,,,
,,,,,,,30.5064552896,,,88.6469385354
,,,,,,,0.0410033001,,,0.1191491109
,,,,,,,0.2024927162,,,
