University,Rank-16,Rank-17,,,,,,,
Kyoto UniversityJapan,88,91,,,-3,-0.0340909091,0.0011621901,,0.0340909091
Maastricht UniversityNetherlands,88,94,,,-6,-0.0681818182,0.0046487603,,0.0681818182
Emory UniversityUnited States,90,82,,,8,0.0888888889,0.0079012346,,0.0888888889
Lund UniversitySweden,90,96,,,-6,-0.0666666667,0.0044444444,,0.0666666667
Ohio State UniversityUnited States,90,72,,,18,0.2,0.04,,0.2
University of ExeterUnited Kingdom,93,126,,,-33,-0.3548387097,0.1259105099,,0.3548387097
University of BonnGermany,94,113,,,-19,-0.2021276596,0.0408555908,,0.2021276596
Georgetown UniversityUnited States,94,104,,,-10,-0.1063829787,0.0113173382,,0.1063829787
McMaster UniversityCanada,94,113,,,-19,-0.2021276596,0.0408555908,,0.2021276596
University of SheffieldUnited Kingdom,97,109,,,-12,-0.1237113402,0.0153044957,,0.1237113402
Queen Mary University of LondonUnited Kingdom,98,113,,,-15,-0.1530612245,0.0234277384,,0.1530612245
University of GÃ¶ttingenGermany,99,112,,,-13,-0.1313131313,0.0172431385,,0.1313131313
Michigan State UniversityUnited States,99,101,,,-2,-0.0202020202,0.0004081216,,0.0202020202
University of BaselSwitzerland,101,98,,,3,0.0297029703,0.0008822664,,0.0297029703
Ã‰cole PolytechniqueFrance,101,116,,,-15,-0.1485148515,0.0220566611,,0.1485148515
Rice UniversityUnited States,101,87,,,14,0.1386138614,0.0192138026,,0.1386138614
Dartmouth CollegeUnited States,104,82,,,22,0.2115384615,0.0447485207,,0.2115384615
University of ZurichSwitzerland,104,106,,,-2,-0.0192307692,0.0003698225,,0.0192307692
Aarhus UniversityDenmark,106,98,,,8,0.0754716981,0.0056959772,,0.0754716981
"University of California, IrvineUnited States",106,98,,,8,0.0754716981,0.0056959772,,0.0754716981
University of MannheimGermany,106,102,,,4,0.0377358491,0.0014239943,,0.0377358491
University of Notre DameUnited States,108,143,,,-35,-0.3240740741,0.1050240055,,0.3240740741
University of Western AustraliaAustralia,109,125,,,-16,-0.1467889908,0.0215470078,,0.1467889908
RWTH Aachen UniversityGermany,110,78,,,32,0.2909090909,0.0846280992,,0.2909090909
University of SouthamptonUnited Kingdom,110,121,,,-11,-0.1,0.01,,0.1
Scuola Normale Superiore di PisaItaly,112,137,,,-25,-0.2232142857,0.0498246173,,0.2232142857
University of MontrealCanada,113,103,,,10,0.0884955752,0.0078314668,,0.0884955752
Pierre and Marie Curie UniversityFrance,113,121,,,-8,-0.0707964602,0.0050121388,,0.0707964602
Purdue UniversityUnited States,113,70,,,43,0.3805309735,0.1448038218,,0.3805309735
"Pohang University of Science and TechnologyKorea, Republic of",116,104,,,12,0.1034482759,0.0107015458,,0.1034482759
"University of Maryland, College ParkUnited States",117,67,,,50,0.4273504274,0.1826283878,,0.4273504274
Ghent UniversityBelgium,118,118,,,0,0,0,,0
University of BirminghamUnited Kingdom,119,130,,,-11,-0.0924369748,0.0085445943,,0.0924369748
University of BernSwitzerland,120,110,,,10,0.0833333333,0.0069444444,,0.0833333333
University of Cape TownSouth Africa,120,148,,,-28,-0.2333333333,0.0544444444,,0.2333333333
University of FloridaUnited States,120,134,,,-14,-0.1166666667,0.0136111111,,0.1166666667
University of Erlangen-NurembergGermany,123,160,,,-37,-0.3008130081,0.0904884659,,0.3008130081
"Rutgers, the State University of New JerseyUnited States",123,141,,,-18,-0.1463414634,0.0214158239,,0.1463414634
University of MÃ¼nsterGermany,125,161,,,-36,-0.288,0.082944,,0.288
Radboud University NijmegenNetherlands,125,121,,,4,0.032,0.001024,,0.032
University of Colorado BoulderUnited States,127,116,,,11,0.0866141732,0.007502015,,0.0866141732
Tufts UniversityUnited States,127,135,,,-8,-0.062992126,0.0039680079,,0.062992126
"Royal Holloway, University of LondonUnited Kingdom",129,173,,,-44,-0.3410852713,0.1163391623,,0.3410852713
Lancaster UniversityUnited Kingdom,130,137,,,-7,-0.0538461538,0.0028994083,,0.0538461538
University of GenevaSwitzerland,131,137,,,-6,-0.0458015267,0.0020977798,,0.0458015267
University of YorkUnited Kingdom,131,129,,,2,0.0152671756,0.0002330866,,0.0152671756
Case Western Reserve UniversityUnited States,133,126,,,7,0.0526315789,0.0027700831,,0.0526315789
University of LeedsUnited Kingdom,133,133,,,0,0,0,,0
University of OsloNorway,135,132,,,3,0.0222222222,0.0004938272,,0.0222222222
Stockholm UniversitySweden,136,144,,,-8,-0.0588235294,0.0034602076,,0.0588235294
University of AlbertaCanada,137,107,,,30,0.2189781022,0.0479514092,,0.2189781022
Chinese University of Hong KongHong Kong,138,76,,,62,0.4492753623,0.2018483512,,0.4492753623
Karlsruhe Institute of TechnologyGermany,138,144,,,-6,-0.0434782609,0.0018903592,,0.0434782609
University of SussexUnited Kingdom,140,149,,,-9,-0.0642857143,0.0041326531,,0.0642857143
University of MassachusettsUnited States,141,165,,,-24,-0.170212766,0.0289723857,,0.170212766
University of ViennaAustria,142,161,,,-19,-0.1338028169,0.0179031938,,0.1338028169
University of NottinghamUnited Kingdom,143,147,,,-4,-0.027972028,0.0007824343,,0.027972028
"University of California, Santa CruzUnited States",144,146,,,-2,-0.0138888889,0.0001929012,,0.0138888889
University of LausanneSwitzerland,144,151,,,-7,-0.0486111111,0.0023630401,,0.0486111111
Autonomous University of BarcelonaSpain,146,163,,,-17,-0.1164383562,0.0135578908,,0.1164383562
University of VirginiaUnited States,147,121,,,26,0.1768707483,0.0312832616,,0.1768707483
"Korea Advanced Institute of Science and Technology (KAIST)Korea, Republic of",148,89,,,59,0.3986486486,0.1589207451,,0.3986486486
University of AdelaideAustralia,149,142,,,7,0.0469798658,0.0022071078,,0.0469798658
University of East AngliaUnited Kingdom,149,165,,,-16,-0.1073825503,0.0115310121,,0.1073825503
University of TwenteNetherlands,149,153,,,-4,-0.0268456376,0.0007206883,,0.0268456376
"Sungkyunkwan University (SKKU)Korea, Republic of",153,137,,,16,0.1045751634,0.0109359648,,0.1045751634
VU University AmsterdamNetherlands,154,156,,,-2,-0.012987013,0.0001686625,,0.012987013
KTH Royal Institute of TechnologySweden,155,159,,,-4,-0.0258064516,0.0006659729,,0.0258064516
University of CologneGermany,156,170,,,-14,-0.0897435897,0.0080539119,,0.0897435897
University of LiverpoolUnited Kingdom,157,158,,,-1,-0.0063694268,4.05695971439004E-005,,0.0063694268
TU Dresden Germany,158,164,,,-6,-0.0379746835,0.0014420766,,0.0379746835
University of RochesterUnited States,158,151,,,7,0.0443037975,0.0019628265,,0.0443037975
Lomonosov Moscow State UniversityRussian Federation,161,188,,,-27,-0.1677018634,0.028123915,,0.1677018634
University of MiamiUnited States,161,182,,,-21,-0.1304347826,0.0170132325,,0.1304347826
University of ArizonaUnited States,163,156,,,7,0.0429447853,0.0018442546,,0.0429447853
Pompeu Fabra UniversitySpain,164,175,,,-11,-0.0670731707,0.0044988102,,0.0670731707
University of ReadingUnited Kingdom,164,192,,,-28,-0.1707317073,0.0291493159,,0.1707317073
,,,,,,,,,
,,,,,,,5.6191203687,,21.0097046959
,,,,,,,0.0342629291,,0.1281079555
,,,,,,,0.1851024826,,
