University,Overall-16,Overall-17,,,,,,,
Maastricht UniversityNetherlands,59.9,61,,,-1.1,-0.0183639399,0.0003372343,,0.0183639399
University of FreiburgGermany,60.7,60.9,,,-0.2,-0.0032948929,1.08563193277762E-005,,0.0032948929
Durham UniversityUnited Kingdom,63.6,60.6,,,3,0.0471698113,0.0022249911,,0.0471698113
Lund UniversitySweden,59.7,60.6,,,-0.9,-0.0150753769,0.000227267,,0.0150753769
University of BaselSwitzerland,57.9,60.3,,,-2.4,-0.0414507772,0.0017181669,,0.0414507772
Aarhus UniversityDenmark,57.7,60.3,,,-2.6,-0.0450606586,0.002030463,,0.0450606586
"University of California, IrvineUnited States",57.7,60.3,,,-2.6,-0.0450606586,0.002030463,,0.0450606586
Michigan State UniversityUnited States,58,59.9,,,-1.9,-0.0327586207,0.0010731272,,0.0327586207
University of MannheimGermany,57.7,59.8,,,-2.1,-0.0363951473,0.0013246067,,0.0363951473
University of MontrealCanada,57,59.7,,,-2.7,-0.0473684211,0.0022437673,,0.0473684211
Georgetown UniversityUnited States,58.8,59.6,,,-0.8,-0.0136054422,0.0001851081,,0.0136054422
"Pohang University of Science and TechnologyKorea, Republic of",56.9,59.6,,,-2.7,-0.0474516696,0.0022516609,,0.0474516696
University of ZurichSwitzerland,57.8,59.5,,,-1.7,-0.0294117647,0.0008650519,,0.0294117647
University of AlbertaCanada,54.7,59.4,,,-4.7,-0.0859232176,0.0073827993,,0.0859232176
Vanderbilt UniversityUnited States,60.1,59.3,,,0.8,0.0133111481,0.0001771867,,0.0133111481
University of SheffieldUnited Kingdom,58.6,59.1,,,-0.5,-0.0085324232,7.28022458036786E-005,,0.0085324232
University of St AndrewsUnited Kingdom,60.4,58.9,,,1.5,0.0248344371,0.0006167493,,0.0248344371
University of BernSwitzerland,56.1,58.9,,,-2.8,-0.0499108734,0.0024910953,,0.0499108734
University of GÃ¶ttingenGermany,58,58.8,,,-0.8,-0.0137931034,0.0001902497,,0.0137931034
University of BonnGermany,58.8,58.7,,,0.1,0.0017006803,2.89231338793988E-006,,0.0017006803
McMaster UniversityCanada,58.8,58.7,,,0.1,0.0017006803,2.89231338793988E-006,,0.0017006803
Queen Mary University of LondonUnited Kingdom,58.5,58.7,,,-0.2,-0.0034188034,1.16882168164223E-005,,0.0034188034
Ã‰cole PolytechniqueFrance,57.9,58.6,,,-0.7,-0.01208981,0.0001461635,,0.01208981
University of Colorado BoulderUnited States,55.8,58.6,,,-2.8,-0.0501792115,0.0025179533,,0.0501792115
Ghent UniversityBelgium,56.6,58.5,,,-1.9,-0.0335689046,0.0011268714,,0.0335689046
University of CopenhagenDenmark,61,58.2,,,2.8,0.0459016393,0.0021069605,,0.0459016393
University of SouthamptonUnited Kingdom,57.2,58.1,,,-0.9,-0.0157342657,0.0002475671,,0.0157342657
Pierre and Marie Curie UniversityFrance,57,58.1,,,-1.1,-0.0192982456,0.0003724223,,0.0192982456
Radboud University NijmegenNetherlands,55.9,58.1,,,-2.2,-0.0393559928,0.0015488942,,0.0393559928
University of VirginiaUnited States,53.3,58.1,,,-4.8,-0.0900562852,0.0081101345,,0.0900562852
University of Western AustraliaAustralia,57.5,58,,,-0.5,-0.0086956522,7.56143667296786E-005,,0.0086956522
University of ExeterUnited Kingdom,59.5,57.9,,,1.6,0.0268907563,0.0007231128,,0.0268907563
Case Western Reserve UniversityUnited States,55.3,57.9,,,-2.6,-0.0470162749,0.0022105301,,0.0470162749
UniversitÃ© Catholique de LouvainBelgium,51.1,57.8,,,-6.7,-0.1311154599,0.0171912638,,0.1311154599
University of YorkUnited Kingdom,55.4,57.7,,,-2.3,-0.0415162455,0.0017235986,,0.0415162455
University of BirminghamUnited Kingdom,56.2,57.6,,,-1.4,-0.024911032,0.0006205595,,0.024911032
Arizona State UniversityUnited States,49.7,57.2,,,-7.5,-0.1509054326,0.0227724496,,0.1509054326
University of OsloNorway,55.1,56.9,,,-1.8,-0.0326678766,0.0010671902,,0.0326678766
University of LeedsUnited Kingdom,55.3,56.8,,,-1.5,-0.027124774,0.0007357534,,0.027124774
University of FloridaUnited States,56.1,56.6,,,-0.5,-0.008912656,7.94354364659492E-005,,0.008912656
Tufts UniversityUnited States,55.8,56.5,,,-0.7,-0.0125448029,0.0001573721,,0.0125448029
Ulm UniversityGermany,49.5,56.5,,,-7,-0.1414141414,0.0199979594,,0.1414141414
Scuola Normale Superiore di PisaItaly,57.1,56.4,,,0.7,0.0122591944,0.0001502878,,0.0122591944
Lancaster UniversityUnited Kingdom,55.6,56.4,,,-0.8,-0.0143884892,0.0002070286,,0.0143884892
University of GenevaSwitzerland,55.4,56.4,,,-1,-0.0180505415,0.000325822,,0.0180505415
"Sungkyunkwan University (SKKU)Korea, Republic of",52.8,56.4,,,-3.6,-0.0681818182,0.0046487603,,0.0681818182
"Rutgers, the State University of New JerseyUnited States",56,56.2,,,-0.2,-0.0035714286,1.27551020408167E-005,,0.0035714286
University of AdelaideAustralia,52.9,56.1,,,-3.2,-0.0604914934,0.0036592208,,0.0604914934
University of Notre DameUnited States,57.6,55.9,,,1.7,0.0295138889,0.0008710696,,0.0295138889
Stockholm UniversitySweden,54.8,55.8,,,-1,-0.0182481752,0.0003329959,,0.0182481752
Karlsruhe Institute of TechnologyGermany,54.5,55.8,,,-1.3,-0.023853211,0.0005689757,,0.023853211
"University of California, Santa CruzUnited States",53.9,55.6,,,-1.7,-0.0315398887,0.0009947646,,0.0315398887
University of NottinghamUnited Kingdom,54.1,55.5,,,-1.4,-0.0258780037,0.0006696711,,0.0258780037
University of Cape TownSouth Africa,56.1,55.3,,,0.8,0.0142602496,0.0002033547,,0.0142602496
University of SussexUnited Kingdom,54.4,55.1,,,-0.7,-0.0128676471,0.0001655763,,0.0128676471
University of LausanneSwitzerland,53.9,54.9,,,-1,-0.0185528757,0.0003442092,,0.0185528757
University of RochesterUnited States,52.1,54.9,,,-2.8,-0.0537428023,0.0028882888,,0.0537428023
University of TwenteNetherlands,52.9,54.7,,,-1.8,-0.034026465,0.0011578003,,0.034026465
VU University AmsterdamNetherlands,52.5,54.5,,,-2,-0.0380952381,0.0014512472,,0.0380952381
University of ArizonaUnited States,51.7,54.5,,,-2.8,-0.0541586074,0.0029331548,,0.0541586074
University of LiverpoolUnited Kingdom,52.2,54.3,,,-2.1,-0.0402298851,0.0016184437,,0.0402298851
KTH Royal Institute of TechnologySweden,52.4,54.1,,,-1.7,-0.0324427481,0.0010525319,,0.0324427481
University of Erlangen-NurembergGermany,56,54,,,2,0.0357142857,0.0012755102,,0.0357142857
University of MÃ¼nsterGermany,55.9,53.9,,,2,0.0357781753,0.0012800778,,0.0357781753
University of ViennaAustria,54.2,53.9,,,0.3,0.0055350554,3.06368377336919E-005,,0.0055350554
Autonomous University of BarcelonaSpain,53.8,53.7,,,0.1,0.0018587361,3.45489973880919E-006,,0.0018587361
TU Dresden Germany,52.1,53.5,,,-1.4,-0.0268714012,0.0007220722,,0.0268714012
University of MassachusettsUnited States,54.3,53.4,,,0.9,0.0165745856,0.0002747169,,0.0165745856
University of East AngliaUnited Kingdom,52.9,53.4,,,-0.5,-0.0094517958,8.93364446239114E-005,,0.0094517958
"University of California, RiversideUnited States",51.1,53.4,,,-2.3,-0.0450097847,0.0020258807,,0.0450097847
University of AucklandNew Zealand,51,53.4,,,-2.4,-0.0470588235,0.0022145329,,0.0470588235
Texas A&M UniversityUnited States,49.4,53.2,,,-3.8,-0.0769230769,0.0059171598,,0.0769230769
University of CologneGermany,52.3,53.1,,,-0.8,-0.0152963671,0.0002339788,,0.0152963671
University of GothenburgSweden,50.2,53.1,,,-2.9,-0.0577689243,0.0033372486,,0.0577689243
University of LeicesterUnited Kingdom,51.1,53,,,-1.9,-0.0371819961,0.0013825008,,0.0371819961
"Royal Holloway, University of LondonUnited Kingdom",55.7,52.9,,,2.8,0.0502692998,0.0025270025,,0.0502692998
University of WaterlooCanada,50.3,52.9,,,-2.6,-0.0516898608,0.0026718417,,0.0516898608
Pompeu Fabra UniversitySpain,51.2,52.8,,,-1.6,-0.03125,0.0009765625,,0.03125
Technical University of DenmarkDenmark,51.1,52.5,,,-1.4,-0.0273972603,0.0007506099,,0.0273972603
Eindhoven University of TechnologyNetherlands,50.6,52.4,,,-1.8,-0.0355731225,0.001265447,,0.0355731225
University of LuxembourgLuxembourg,49.4,52.2,,,-2.8,-0.0566801619,0.0032126408,,0.0566801619
Paris-Sud UniversityFrance,49.8,52.1,,,-2.3,-0.046184739,0.0021330301,,0.046184739
University of DundeeUnited Kingdom,49.9,52,,,-2.1,-0.0420841683,0.0017710772,,0.0420841683
University of MiamiUnited States,51.9,51.7,,,0.2,0.0038535645,0.00001485,,0.0038535645
Cardiff UniversityUnited Kingdom,50.1,51.7,,,-1.6,-0.0319361277,0.0010199163,,0.0319361277
Hebrew University of JerusalemIsrael,50.5,51.6,,,-1.1,-0.0217821782,0.0004744633,,0.0217821782
University of WÃ¼rzburgGermany,49.9,51.6,,,-1.7,-0.0340681363,0.0011606379,,0.0340681363
Lomonosov Moscow State UniversityRussian Federation,51.9,51.5,,,0.4,0.0077071291,5.93998388779366E-005,,0.0077071291
University of AberdeenUnited Kingdom,51,51.5,,,-0.5,-0.0098039216,9.61168781237985E-005,,0.0098039216
Scuola Superiore Santâ€™AnnaItaly,50.2,51.3,,,-1.1,-0.0219123506,0.0004801511,,0.0219123506
Newcastle UniversityUnited Kingdom,49.2,51.3,,,-2.1,-0.0426829268,0.0018218322,,0.0426829268
University of ReadingUnited Kingdom,51.2,51.2,,,0,0,0,,0
University of KonstanzGermany,50.8,51.1,,,-0.3,-0.0059055118,3.48750697501405E-005,,0.0059055118
National Taiwan UniversityTaiwan,51.1,51,,,0.1,0.0019569472,3.82964219652969E-006,,0.0019569472
Brandeis UniversityUnited States,49.9,50.8,,,-0.9,-0.0180360721,0.0003252999,,0.0180360721
,,,,,,,,,
,,,,,,,,,
,,,,,,,0.3645763353,,5.9031480619
,,,,,,,0.0019496061,,0.0315676367
,,,,,,,0.0441543437,,
