Name,h-index
"108. Irfan, Muhammad",8
"128. Bhat, Imtiyaz Ahmad",8
"147. Sabir, Suhail",8
"156. Ishtikhar, Mohd",8
"173. Mohammad, Zubair",8
"175. Sarwar, Tarique",8
"184. Husain, Shahid K.",8
"195. Wani, Arifshafi",8
"200. Ansari, Mohammad Azam",8
"227. Husain, Mohammed Amir",8
"236. Qadeer, Atiyatul",8
"240. Younus, Hina",8
"254. Mahmood, Irshad",8
"284. Irfan, Mohd",8
299. Unnati,8
"300. Usmani, Nazura",8
"328. Khan, Raisahmad",8
"362. Haque, Shahzad Faizul",8
"363. Hasan, Shirin Khalid",8
"411. Husain, Ahmad",8
"470. Khan, Rizwanahmad",8
"472. Khan, Samiullah",8
"66. Jyoti, Smita",7
73. Shamsuzzaman,7
"80. Naz, Falaq",7
"82. Ashraf, Mohammad",7
"92. Qadeer, Mohammed Abdul",7
"120. Khan, Subuhi",7
"122. Abbas, Ash Mohammad",7
"124. Hayat, Mohammad",7
"141. Chibber, Sandesh",7
"150. Abidi, Syed M Abbas",7
"167. Husain, Fohad Mabood",7
"186. Khan, Fareedahmad",7
"190. Mir, Niyaz A.",7
"201. Asgher, Mohd",7
"220. Zubair, Swaleha A H",7
"228. Ishqi, Hassan Mubarak",7
"235. Panda, Manorama",7
"271. Ahmad, Rais",7
"273. Amani, Samreen",7
"276. Azeem, Mohammad Fazle",7
"277. Danishuddin, Mohd",7
"310. Alam, Mahboob",7
"321. Hashmi, Nadeem",7
"332. Naqshbandi, Ashreeb",7
"386. Zaki, Mehvash",7
"403. Farooqi, Izharul Haq",7
"426. Parveen, Shazia",7
"439. Varshney, Mayora",7
"439. Varshney, Mayora",7
"442. Yaseen, Zahid",7
"457. Ansari, Mohammed Athar",7
"460. Chaman, Mohammad",7
"Wahab, Shagufta",7
"Zaheer, Zoya",7
"101. Khan, Yusufuzzaman",6
"114. Ansari, Mohd Samar",6
"127. Siddiqui, Mohammad Jawaid",6
"157. Khan, Mohdrizwan",6
"169. Khan, Asif",6
"171. Khan, Mohammad Mujahid Ali",6
"176. Shaheen, Shakeeba A.",6
"177. Tauheed, Ahmad",6
"182. Fareed, Mohd",6
"185. Khalique, Najam",6
"187. Khan, Zulfia",6
188. Lutfullah,6
"216. Tahseen, Qudsia",6
"217. Tripathi, Trivendra",6
"230. Khan, Merajalam",6
"231. Khan, Mohdali",6
"247. Arif, Zarina",6
"255. Masood, Farhana",6
"264. Sherwani, Asif",6
"267. Zahid, Mohammad Ahmad",6
"282. Haider, Wasi",6
"287. Khan, Mohdshoeb",6
"295. Sharma, Prashant K.",6
"320. Hameedullah, M.",6
"323. Iram, Afshin",6
"336. Rizwan, Sana",6
"343. Singh, Anuradha P.",6
"344. Sobia, Farrukh",6
"347. Ahmad, Mir Kaisar",6
"348. Ahmad, Tauseef J.",6
"365. Hassan, Iftekhar",6
"372. Khan, Taqi Ahmed",6
"401. Beg, Mujahid M A",6
"409. Hakim, Seema Rashid",6
"420. Kumar, Anil Senthil",6
"422. Mohd, Ayaz",6
"430. Rehman, Md Tabish",6
"443. Yousuf, Imtiyaz",6
"467. Imran, Ale",6
"Rizvi, Syed Amjad Ali",6
"Sachdeva, Sandeep",6
"46. Sharma, Vijay Raj",5
"50. Mohisin Khan, M.",5
"60. Alam, Kiran",5
"81. Akhtar, Kafil",5
"97. Ahmad, Shafiq F.",5
"100. Khan, Farheen",5
"110. Sherwani, Rana Khalid",5
"138. Ansari, Mohammad Shafiq",5
"140. Bhargava, Rakesh K.",5
"152. Ahmed, Syed Moied",5
"153. Ahsan, Mohammad Jameel",5
"180. Bey, Afshan",5
"191. Per, Tasir S.",5
193. Rahul,5
"207. Khan, Saif",5
"226. Farhan, Mohd Mashni",5
"229. Khan, Fatima",5
"243. Abbas, Mazhar",5
"245. Ahmad, Wasim",5
"249. Fatma, Mehar",5
"250. Khan, Abuzar",5
"252. Khan, Imran",5
"266. Uddin, Moin J.",5
"268. Zehra, Seemab",5
"269. Ahmad, Ees",5
"272. Alam, Mohammad Jane Ane",5
"283. Hasan, Fazil",5
"288. Khan, Roobina",5
"289. Khan, Shahista",5
"291. Miyan, Kaish",5
"302. Ahmad, Ejaj",5
"311. Ali Khan, Abid",5
"324. Jadon, Sudha P Singh",5
"337. Shadab, G. G Hammad Ahmad",5
"339. Shujatullah, Fatima",5
"341. Siddiqui, Mashiatullah U.",5
"346. Aatif, Mohammad Syed",5
"352. Amitava, Abadan Khan",5
"354. Asif, Naiyer",5
"357. Beg, Parveen",5
"360. Fazili, Naveed Ahmad",5
"361. Gatoo, Manzoor Ahmad",5
"367. Jabeen, Mumtaz",5
"368. Javed, Mehjbeen",5
"371. Khan, Mohammadzain",5
"377. Parveen, Shahina",5
"381. Shah, Ahsana A.",5
"382. Sharma, Manjari K.",5
"387. Zia, Qamar",5
"391. Ahmed, Nayeem",5
"399. Bano, Shaista",5
"405. Fatima, Nigar",5
"408. Hafeez, Shehla",5
"415. Khan, Mohammadafzal",5
"418. Khan, Shakeel",5
"429. Rahman, Syed Atiqur",5
"432. Sajjad Athar, M.",5
"433. Siddique, Armeen",5
"436. Sultana, Saima",5
"444. Zafar, Hina",5
"449. Ahmad, Hilal",5
"454. Ali, Sabir Akbar",5
"459. Ara, Anjum",5
"462. Fatima, Nazish",5
"463. Fatma, Nazish",5
"479. Paquiza, Leena",5
"Suhail, Nida",5
"Zaidi, Noushi",5
"83. Rehman, Nadeem Ur",4
"112. Afroz, Nishat",4
"129. Bokhari, Mohammad Ubaidullah",4
"132. Jain, Anshu M.",4
"133. Shameem, Mohammad",4
"148. Siddiqui, Mohammed Azfar Zfar",4
"159. Malla, Ali Mohammed",4
"163. Zaman, Masihuz",4
"165. Dar, Ayaz Mahmood",4
"172. Khanam, Hena",4
"179. Amir, Syed Hussain Ussain",4
"198. Akhtar, Nadeem",4
"202. Ashraf, Syed S Z",4
"214. Sharma, Shiwali",4
"224. Aziz, Mehar Usman",4
"233. Mashrai, Ashraf Ahmed Hasan",4
"239. Ullah, Ekram",4
"248. Beg, Mirza Salim",4
"257. Moheman, Abdul",4
"265. Siddiqi, Mohammad Khursheed",4
"274. Ansari, Khursheed Jamal",4
"294. Shahid, Muhammad",4
"303. Ahmad, Faheem",4
"309. Ahmad, Zuber",4
"313. Aslam, Jeenat",4
"331. Moinuddin, Athar Ali",4
"342. Siddiqui, Shahid Ali",4
"349. Akhtar, Nishat A.",4
"350. Ali, Akhtar",4
"355. Azim, Shafquat",4
"359. Bhat, Sheraz Ahmad",4
"375. Moin, Shagufta",4
"389. Abhang, Laxman B.",4
"390. Ahmad, Aiman",4
"397. Azaz, Shaista",4
"398. Banday, Abdul Rouf",4
"410. Hasan, Mohd Asif D",4
"417. Khan, Nafeesahmad",4
"421. Mir, Abdul Rouf",4
"434. Siddiqui, Obaid Ahmed",4
"437. Tufail, Saba",4
"440. Vasenwala, Shaista Manan",4
"441. Verma, Deepak K.",4
"446. Zaheer, Sufian",4
"451. Ahmed, Hilal",4
"452. Alam, Feroz",4
"461. Fatima, Ambreen",4
"466. HUSSAIN, RUQAIYA",4
"468. Khan, Mohammadfarhan",4
"474. Khanam, Saba",4
"477. Nasiruddin, Mohammad",4
"478. Nongjai, Razia",4
"Raza, Adil",4
"Sahai, Aastha",4
"Yadav, Shipra S.",4
"Zafar, M. A.",4
"56. Ashfaq, Ahmad",3
"113. Ali, Asma Hamid A Hussain",3
"118. Khan, Mumtazahmad",3
"125. Khalid, Saifullah",3
"178. Ali, Qazi Ehsan Hsan",3
"196. Ajmal, Mohammad Rehan",3
"197. Akhtar, Jamal",3
"209. Naim, Mohammed",3
"210. Nusrat, Saima",3
"215. Siddiqui, Yasir Salam",3
"241. Zafar, Atif",3
"253. Maheshwari, Sandhya",3
"262. Rizvi, Asim N.",3
"305. Ahmad, Mukhtar Kalimuddin",3
"312. Arsalan, Mohd P.",3
"314. Badar, Farheen",3
"316. Baneen, Ummul",3
"317. Gupta, Narender Dev",3
"319. Haider, Nazima",3
"334. Raza, Waseem",3
"340. Siddiqui, Mansoor Ahmad",3
"345. Tewari, Rajendra Kumar",3
"353. Ansari, Mohammad Yunus Khalil",3
"358. Bhat, Irshad Ahmad",3
"370. Khan, Abdulhamid",3
"373. Khan, Vakeel A.",3
"374. Kumar, Kamal R Sheetal",3
"376. Pable, Sachin D.",3
"378. Rafi, Syed",3
"380. Rizvi, Rose",3
"394. Ansari, M. M.",3
"402. Bhat, Waseem Feeroze",3
"404. Faruqi, Nafis Ahmad",3
"414. Khan, Arshadhafeez",3
"419. Kirmani, Sanna",3
"424. Noori, Sahar",3
"425. Parveen, Azra Nisthana",3
"428. Rabbani, Mohammad U.",3
"431. Sabir, Aamir Bin In",3
"445. Zaheer, Samreen Noman",3
"456. Amir, Ali",3
"483. Rahimullah, K.",3
"Siddiqi, Muzaffar A.",3
"Tariq, Abu",3
"Tiyagi, Sartaj Ali",3
"96. Ahmad, Mehtab D.",2
"102. Varshney, Manoranjan",2
"155. Gaur, Kavita",2
"164. Ahmad, Rais",2
"199. Ali, Irfan",2
"204. Husain, Munawwar",2
"205. Jha, Abhishek",2
"218. Usmani, Jawed Ahmad",2
263. Salahuddin,2
"281. Gupta, Prakhar D.",2
"286. Khan, M. Faisal",2
"318. Haider, H.",2
"329. Masoodi, Zulqarnain",2
"356. Bari, Abdul",2
"364. Hasan, Syed Abrar",2
"388. Abdali, Nasar",2
"392. Alam, Masidur Rafi",2
"393. Ansari, Istikhar A.",2
"407. Gupta, Gagan",2
"416. Khan, Nafeesahmad",2
"423. Mubeen, Aysha",2
"438. Usmani, Mohd Kamil",2
"453. Ali, Rashid",2
"455. Amin, Fakhra",2
"464. Hasan, Mahboob I.",2
"469. Khan, Mohd Ayyub",2
"473. Khan, Tanveeralam",2
"475. Khurram, Mohammed Fahud",2
"484. Ray, Prasenjit Sen En",2
"Tarannum, Saima",2
"225. Chaurasia, Jai Kumar Umar",1
"259. Rafiq, Mohammad Qasim",1
"279. Faridi, Shahbaz Habib",1
"290. Malik, Azharuddin Mohammed Ohammed",1
"296. Siddiqui, Bushra",1
"333. Raza, Mohd Arif",1
"335. Rihan, Mohd",1
"369. Khan, Abdulhakim",1
"379. Rahaman, Mijanur",1
"384. Umar, Mohammad Sarosh",1
"385. Verma, Sanjeev Kumar",1
"400. Beg, Mohd Haneef",1
"406. Firdaus, Uzma",1
"412. Javaid, Shakeel",1
"413. Kafeel, Mohd Ajmal",1
"465. Haseen, Mohd Azam",1
"471. Khan, Ruhi",1
"480. Parveen, Nuzhat",1
"482. Quaiser, Saif",1
"383. Tamandani, Yahya Kord",0
