Name,Publications,publication,Citations,h-index
"31. Lata, Rubee",8,2015,5,2
"75. Prakash, Anand",4,2016,5,2
"76. Rawat, Atul S.",4,2016,5,2
"113. Devi, Uma",2,2016,5,2
"32. Meena, Murlidhar L.",8,2015,4,2
"87. Kumar, Anand",3,2013,4,2
"122. Kumar, Ravindra",2,2016,4,2
"39. Dwivedi, Deepa Hansraj",7,2014,3,2
"83. Chandra, Bhuwan P.",3,2016,3,2
116. Enespa,2,2015,3,2
"201. Kesharwani, Rupesh K.",1,2013,3,2
"55. Babu, Mukesh Vijayasankar",5,2012,2,2
"67. Khan, Suhelahmad",4,2014,2,2
"111. Bharti, Ajay Kumar",2,2014,2,2
"43. Singh, Brajesh Kumar",7,2016,1,2
"47. Diwakar, Manoj",6,2017,1,2
"89. Kumar, Rajesh",3,2014,1,2
"142. Saxena, Swati",2,2015,1,2
"128. Maji, Sutanu B.",2,2017,0,2
"254. Pandey, Vijay K.",1,2013,0,2
"284. Sharma, Anil",1,2015,0,2
"303. Singh, Krishna P.",1,2013,0,2
"330. Verma, Jyoti",1,2017,0,2
"77. Shrivastava, Pooja",4,2017,32,1
"261. Pratap Singh, Rana",1,2011,23,1
"93. Sabhajeet, S. R.",3,2016,19,1
"103. Vishnoi, Neha",3,2014,17,1
"338. Wouatsa, N. A Vyry",1,2013,16,1
"186. Chowdhary, Pankaj",1,2015,12,1
"175. Chan, Debra Shu Zhen",1,2012,9,1
"217. Kumar, Neeraj",1,2015,9,1
"234. Mishra, Pranav Kumar",1,2015,9,1
"255. Pandeya, Abhishek",1,2014,9,1
"265. Ram, Badan Ram",1,2015,9,1
"291. Shukla, Nikita",1,2014,9,1
"168. Babu, Sunil S.",1,2012,8,1
"162. Akbar, Nawab",1,2012,7,1
"61. Singh, Ashok K.",5,2016,6,1
"339. Wouatsa, Vyry N A",1,2013,6,1
"53. Vaish, Ankita",6,2017,5,1
"88. Kumar, Manoj",3,2015,5,1
"110. Babu, Sunil G.",2,2014,5,1
"172. Bhardwaj, Monika",1,2016,5,1
"184. Chauhan, Seema",1,2014,5,1
"213. Kumar, Ghanendra",1,2016,5,1
"225. Kumar, Venkatesh R.",1,2014,5,1
"290. Shukla, Kamleshwar",1,2014,5,1
"37. Arya, Malti",7,2016,4,1
"136. Raj, Vinit",2,2015,4,1
"160. Agrahari, Kaushlendra",1,2016,4,1
"199. Gupta, Sukesh K.",1,2015,4,1
