# RANK20182017201620152018,UNIVERSITY,OVERALL SCORE,Academic Reputation,Citations per Faculty,Employer Reputation,Faculty Student,International Faculty,International Students
=84,The University of Nottingham,66.8,69.9,46.3,87.5,59.5,89.5,86.5
=84,University of Birmingham,66.8,74.7,47.2,88.6,48.2,90.9,86
86,The Ohio State University,66.1,75.3,40.3,60.6,77.7,79.3,44.7
87,Zhejiang University,65.9,74,80.2,87.1,37.2,54.2,25.9
88,"Trinity College Dublin, The University of Dublin",65.7,73.8,68.3,68.9,30.7,98.4,89.5
89,Rice University,65.6,45.5,96.7,,83.9,87.5,87.7
=90,Korea University,65.5,76.8,32.8,88.1,82.8,,36.7
=90,University of Alberta,65.5,73,49.6,61.1,56.6,93,82.4
92,University of St Andrews,65.3,53,69.6,57.1,72,98,99.9
=93,Pennsylvania State University,65.2,84.6,80.2,75.1,,,42.9
=93,The University of Western Australia,65.2,71.6,82.3,64.1,,100,72.9
=95,Lomonosov Moscow State University,65,82,,79.6,99.7,,48.7
=95,The Hong Kong Polytechnic University,65,70.2,54.5,52.4,58,100,80.2
97,University of Science and Technology of China,64.9,62.9,96.7,57.9,67.6,,
=98,KTH Royal Institute of Technology,64.7,57.2,70,87,62.5,88.1,42
=98,University of Geneva,64.7,57.7,82.1,41.4,55.1,100,98.9
100,Washington University in St. Louis,64.6,51,78.3,,99.6,57.8,62.4
101,University of Leeds,64.5,74.4,42.3,86.9,47,79.4,81.3
=102,University of Helsinki,63.9,76.4,41.5,51.4,83.4,53.6,
=102,University of Southampton,63.9,62.1,56,58.4,62.6,92.7,95.3
104,Eindhoven University of Technology,63.6,39.1,83.3,54.4,93.1,98.4,43.8
105,Purdue University,63.2,73.7,58,70.7,31.6,97.2,73.7
106,Yonsei University,62.3,71.8,31.8,87.7,79.6,,32.6
107,"KIT, Karlsruhe Institute of Technology",61.9,57.2,69.8,96.8,47,61.1,55.5
108,Sungkyunkwan University (SKKU),61.6,62.4,37.9,96.5,85.1,,27.6
=109,Leiden University,61.5,77.9,70.9,42.1,33.7,69.2,33
=109,The University of Adelaide,61.5,73,55.2,58.5,28.5,93.3,98.8
=109,Utrecht University,61.5,74.6,75.5,43.6,41.8,57.2,
112,Uppsala University,61.4,75.7,56.5,49.4,46.2,46.7,64.1
113,University of Groningen,61.3,60.9,53.6,36.3,65.3,89.7,99.1
=114,Nanjing University,60.8,69.5,85.3,66.2,,69.7,
=114,Universiti Malaya (UM),60.8,65.7,24.3,57.5,87.8,65.4,59.7
=116,Nagoya University,60.7,68.9,37,51.5,93.5,,
=116,Technical University of Denmark,60.7,35.4,69.3,38.5,99.8,99.2,75.7
118,"University of California, Davis",60.4,80.7,61.6,47.1,36.1,42,33.3
119,Aarhus University,59.3,66.1,74.6,54.6,34.3,72.1,37.9
120,Humboldt-Universität zu Berlin,59.2,94,33.6,73.4,,55.2,38.4
121,Universidade de São Paulo,59.1,94.8,25.7,90.2,31.4,,
=122,Hokkaido University,59,68.5,35.1,59.5,85,,
=122,Universidad Nacional Autónoma de México  (UNAM),59,95.8,,89.6,50.9,,
124,Wageningen University,58.7,45.2,56.7,35.3,97.9,32.8,88.8
=125,Freie Universitaet Berlin,58.4,88.7,48.3,61.4,,60.2,51.1
=125,Ghent University,58.4,62.4,55.3,47.3,69.4,49.7,22.9
127,Queen Mary University of London,58.3,56.2,43.3,49.7,61,98,99.6
128,Kyushu University,58.2,63.6,31.9,62,91.1,,
129,"University of Maryland, College Park",58.1,63.8,75.8,33.2,55,26.1,33.1
130,Université de Montréal,57.7,67.2,49.9,73.5,,91.3,79.4
131,Université Pierre et Marie Curie (UPMC),57.5,63,81,53.5,34.5,23.3,50.7
132,University of Southern California,57.2,64.8,70.4,55,27.8,44.6,75.8
133,Chalmers University of Technology,57.1,42.1,70.3,75.7,60.5,84.9,44.2
134,"University of California, Santa Barbara (UCSB)",56.9,75.7,97.5,,,47.2,
=135,Lancaster University,56.3,50.2,63.2,47.1,46.2,91.2,98
=135,University of York,56.3,52.2,53,50.2,58.9,90.9,66.2
=137,Aalto University,56,46.5,63.8,53.5,65.1,81,41
=137,Cardiff University,56,57.1,39.5,63,56.6,70.9,79.6
=137,Pontificia Universidad Católica de Chile (UC),56,92.4,,94.6,30.3,,
140,McMaster University,55.8,51.8,35.7,57.2,77.2,92.8,40.5
141,RWTH Aachen University,55.6,71.3,42.1,98.4,,32.6,58.8
=142,University of Oslo,55.5,62.8,48.9,41.5,51.7,78.4,42.4
=142,University of Pittsburgh,55.5,51,51.3,,97.7,24.3,25.2
144,Technische Universität Berlin (TU Berlin),55.2,64.2,27.2,84.9,53.1,34.6,63.2
145,The Hebrew University of Jerusalem,54.7,55.6,50.4,36.4,77,53.4,
146,University of Lausanne,54.5,41.9,30.9,42.8,91.2,99.6,79.6
=147,Emory University,54.4,35.5,70.5,,97.5,49,48.3
=147,Erasmus University Rotterdam,54.4,46.8,74.3,70.3,34.7,62.1,71.7
=149,Michigan State University,54.3,68.6,59.5,60.7,,61.7,47.2
=149,University of Basel,54.3,40.9,94.4,39.1,29.1,100,84.9
151,University of Otago,54.2,63.9,57.2,49.9,,100,65.7
152,University of Waterloo,53.7,48.8,80.9,82.4,,77.6,80.7
153,Université catholique de Louvain (UCL),53.6,62.7,54.6,63,,88.7,55.4
154,University of Vienna,53.3,75.2,,51.2,,97.1,93.8
155,Hanyang University,53.2,53.5,29.7,72.6,76.3,25.3,38.8
156,Universitat de Barcelona,52.9,80,33.4,60.7,30.6,,33.7
157,École Normale Supérieure de Lyon,52.8,48.9,30.1,,99.8,57,24.6
=158,University of Aberdeen,52.7,39.6,59,45.7,53.7,95.5,97.5
=158,The University of Exeter,52.7,47.2,58.6,70.6,31.1,89.8,84.3
160,University of Bath,52.6,45.3,56.9,80.9,28.2,94.5,90.4
=161,National Tsing Hua University,52.4,56.4,90.2,50.8,,24.9,
=161,Newcastle University,52.4,42.6,42.9,66.4,56.5,90.4,83.9
163,University of Minnesota,52.2,76.8,63.1,34.9,,,24.6
=164,Eberhard Karls Universität Tübingen,52.1,55.8,,49.8,80.1,55.2,36.9
=164,University of Bergen,52.1,42,59.7,,81,86.4,
=164,"University of California, Irvine",52.1,54,89.2,,,51.3,84.4
167,University of Bern,51.9,38.1,88.4,43.2,37.7,100,40.8
168,University College Dublin,51.5,53.4,48.4,69.4,28,95.7,60.2
169,Dartmouth College,51.3,31.4,70.5,49.1,86.3,,41.5
170,Politecnico di Milano,50.9,63.9,53.1,93.4,,36.9,42.4
171,Albert-Ludwigs-Universitaet Freiburg,50.8,61.6,53.8,37.8,31.2,56.2,48.4
172,Indian Institute of Technology Delhi (IITD),50.7,54.9,91.2,71.1,,,
=173,King Fahd University of Petroleum & Minerals,50.3,35.7,27.6,40.5,94.9,100,46.6
=173,University of Liverpool,50.3,45.4,38.7,47.5,53,82.3,96.5
=173,University of Virginia,50.3,47.7,53.3,49.2,60.6,50.7,
176,University of Technology Sydney,50.1,50.7,45.8,87,,97.2,94.5
177,CentraleSupélec,50,,31.8,100,79.4,64.4,90.2
178,University of Florida,49.8,58.6,39.2,37.5,63.1,18.2,21.7
=179,Indian Institute of Technology Bombay (IITB),49.7,62.3,50.8,77.9,32.1,,
=179,University of Twente,49.7,28.9,92.2,,42.7,88,76.8
181,University of Göttingen,49.6,62.2,23.9,,64.7,43.8,29.6
=182,Vienna University of Technology,49.5,39.8,83.7,75.6,,67.2,91.2
=182,Universidade Estadual de Campinas (Unicamp),49.5,76.9,30,73.4,,,
=182,University of Colorado Boulder,49.5,47,52,43.7,65.6,36.7,
=182,Vrije Universiteit Brussel (VUB),49.5,34.5,23.8,41.3,98.2,79.4,61.9
186,University of Rochester,49.3,32.1,42.6,,100,47.3,90
187,Universidad Autónoma de Madrid,49.2,65.7,24.7,74.1,43.4,,24.3
=188,Alma Mater Studiorum - University of Bologna,49.1,81.5,36.9,62.9,,,
=188,University of Reading,49.1,39.4,51.6,55.8,41.3,88.1,92.5
190,Indian Institute of Science (IISc) Bangalore,49,38.3,100,,56.1,,
191,University of Cape Town,48.9,60.2,35.9,55.1,32.9,59.2,49.2
