# RANK20182017201620152018,UNIVERSITY,OVERALL SCORE,Academic Reputation,Citations per Faculty,Employer Reputation,Faculty Student,International Faculty,International Students
381,Université de Montpellier,32,36.4,42.3,43.5,,,38.4
=382,"National Research University Higher School of Economics (HSE, Moscow)",31.9,,,,92.8,,
=382,"Stony Brook University, State University of New York",31.9,,43.3,,35.2,,85
384,University of Southern Denmark,31.6,,26,,41.2,73.5,41.5
385,Universität Konstanz,31.5,31.3,,,38.7,56.1,32.9
=386,National Research Tomsk Polytechnic University,31.3,,,,93.5,19.2,81.8
=386,University of Kansas,31.3,,,,78.2,,
=388,National Sun Yat-sen University,31.2,29.9,52.2,,27,17.9,
=388,Universität Mannheim,31.2,,32,84.2,,30.6,30.1
390,United Arab Emirates University,31.1,,,,47.9,100,76.3
=391,Dublin City University,31,,,46.3,35.8,78.4,57.2
=391,National Central University,31,32.5,40.3,,31.7,,
=391,University of Utah,31,,38.2,,60.1,,
394,"University of Colorado, Denver",30.8,,,,100,,
=395,The American University in Cairo,30.7,31,,49.3,37.1,90.7,
=395,Illinois Institute of Technology,30.7,,49.7,,,21.4,100
397,HUFS - Hankuk (Korea) University of Foreign Studies,30.6,,,,78.3,37.9,39
=398,"Goldsmiths, University of London",30.5,,,,25.5,85,97.2
=398,Johannes Gutenberg Universität Mainz,30.5,27.9,,,48.7,35.1,24.6
=398,Taipei Medical University,30.5,,,,84.7,24.4,
401-410,Leibniz Universität Hannover,,,79.5,,,,26.9
401-410,National Technical University of Athens,,,63.7,44.4,,,
401-410,Peter the Great Saint-Petersburg Polytechnic University,,,,,93.8,,56.5
401-410,Ruhr-Universität Bochum,,28.9,56.7,,,27.3,35.3
401-410,Universidad Externado de Colombia,,,,39.8,99.8,,
401-410,Gadjah Mada University,,48.8,,42.2,,23.5,
401-410,University of Coimbra,,38.1,25.3,34,,,41.2
401-410,V. N. Karazin Kharkiv National University,,,,,78,,89.9
401-410,Vilnius University,,,,49.2,69.1,,
401-410,Washington State University,,33,32,,,66.8,
411-420,American University of Sharjah,,,,48.2,,100,100
411-420,Arabian Gulf University,,,,,69.7,99.5,100
411-420,Brandeis University,,,44.1,,28.4,,83.7
411-420,Kazakh National Research Technical University after K.I.Satpayev,,,,,97.1,,
411-420,Taras Shevchenko National University of Kyiv,,32.3,,,69.4,,
411-420,Universidad de Costa Rica,,43.2,,41.7,37.2,,
411-420,Aix-Marseille University,,41.8,26.1,,,26.3,36.2
411-420,University of Oulu,,,33.7,,52.1,30.5,
411-420,University of Warsaw,,43.7,,34.1,29.1,,
411-420,Wake Forest University,,,,,100,,
421-430,Bilkent University,,29.5,26.2,46.3,,62.5,
421-430,Hitotsubashi University,,31.7,,66.9,28.9,23.1,27.5
421-430,Shanghai University,,36,,,38.6,24.1,
421-430,Swinburne University of Technology,,,36.8,,,97.3,83.7
421-430,The University of Georgia,,30.7,36,,,66.1,
421-430,University of Pisa,,46.1,22.4,33.4,,,
421-430,University of Connecticut,,,44.7,,28.8,56.9,26.1
421-430,University of Delaware,,,76.3,,,33.6,25.8
421-430,University of Iowa,,28.9,41.6,,30.8,,29.1
421-430,University of Texas Dallas,,,65.7,,,23,70.8
431-440,Bond University,,,,,58.7,98.7,94.4
431-440,Christian-Albrechts-University zu Kiel,,,23.5,,57.1,,
431-440,Concordia University,,,27.1,51.8,,75.3,87.5
431-440,Florida State University,,33.2,44.1,33.4,,,
431-440,Indian Institute of Technology Roorkee (IITR),,,81.8,,,,
431-440,Koc University,,,,44.9,45.6,42.6,
431-440,National University of Sciences And Technology (NUST) Islamabad,,,,46.5,74.6,,
431-440,Pontificia Universidad Católica del Perú,,48.8,,45.9,,,
431-440,Swansea University,,,30.3,,34.4,66,66.7
431-440,Universidad de Palermo (UP),,,,,64,34.2,95.4
431-440,Xiamen University,,30.9,43.8,,,,
441-450,Auckland University of Technology (AUT),,,,39.5,,99,99.7
441-450,Bangor University,,,59.5,,,54.3,74.3
441-450,Kazan (Volga region) Federal University,,,,,73.7,,27.8
441-450,Oregon State University,,,35.6,,31.1,58.9,28.1
441-450,Singapore Management University,,,,63.3,,100,65.3
441-450,Sogang University,,,,47.5,44.8,,
441-450,University of Trento,,28.1,50.2,,,40.4,
441-450,Université Paris Descartes,,28.9,43.4,,,,25.1
441-450,York University,,29.2,,47.3,,31.9,66
451-460,Beijing Institute of Technology,,,36.2,,32.1,,
451-460,Institut National des Sciences Appliquées de Lyon (INSA),,,,62.8,43.6,34.1,90.2
451-460,Khalifa University,,,,,69.3,100,45.2
451-460,Sultan Qaboos University,,,,,62.3,100,
451-460,Tulane University,,,,,74.8,,25.9
451-460,Universidad de Santiago de Chile (USACH),,45.7,,54.5,,,
451-460,University of Eastern Finland,,,34,,47.5,23.5,
451-460,University of Saskatchewan,,,34.1,,32.8,69.2,57.1
451-460,University of Stirling,,,42.6,,,71.3,62.2
451-460,"The University of Tennessee, Knoxville",,,67.4,,,,
461-470,Jagiellonian University,,36.7,,,39.4,,
461-470,Martin-Luther-Universität Halle-Wittenberg,,,,,81.3,,
461-470,Pontificia Universidad Javeriana,,42.5,,57.4,,,
461-470,Sabanci University,,,,36.6,38.9,48.4,
461-470,Universidad de Zaragoza,,,,,59,,
461-470,University of Florence,,42.7,,,,,
461-470,"University of Rome ""Tor Vergata""",,36.6,30.3,,,,22.2
461-470,Universität Potsdam,,,81.1,,,,25.7
461-470,University of New Mexico,,,33.1,,48,,
461-470,Wayne State University,,,,,75.3,19.2,23.6
471-480,American University,,27.3,,54.5,30,,32
471-480,Dongguk University,,,,,76.1,,28.9
471-480,Huazhong University of Science and Technology,,,52,,,,
471-480,Iowa State University,,28.5,42.1,,,21.9,23.7
471-480,Johannes Kepler University Linz,,,27.6,38.2,,67.4,24
471-480,Karl-Franzens-Universitaet Graz,,28.6,,35.7,,52.8,37.1
471-480,King Khalid University,,,,,77.4,100,24.5
471-480,Middle East Technical University,,31.8,23.2,63.8,,,
471-480,Sharif University of Technology,,,84.3,,,,
471-480,Tianjin University,,,49.7,,30.6,,
481-490,Aberystwyth University,,,34.4,,30.6,61.8,43.4
481-490,Cairo University,,39.8,,65.6,,,
481-490,Chang Gung University,,,46.5,,69,,
481-490,Colorado State University,,,23.5,37.1,28.9,25.3,
481-490,Julius-Maximilians-Universität Würzburg,,,48.7,,,33.7,
481-490,Renmin (People's) University of China,,34.9,,,33.9,,
481-490,Università Cattolica del Sacro Cuore,,30.1,,69.5,,,
481-490,University of Naples - Federico II,,32.2,46.4,,,,
481-490,Universität Bremen,,29.3,23,,25.6,29.1,
481-490,University of Delhi,,41.6,,52.9,,,
481-490,"University of Maryland, Baltimore County",,,78.4,,,,
491-500,Bogaziçi Üniversitesi,,,33,58.5,,19.1,
491-500,Czech Technical University in Prague,,,,55.9,26,,42.3
491-500,Jilin University,,,,,49,,
491-500,Kazakh National Pedagogical University named after Abay,,,,,92.6,19.5,
491-500,Politécnica de Madrid,,28.6,,55,,,33.6
491-500,Pusan National University,,,,,34.7,,
491-500,UNESP,,37.2,,,27.4,,
491-500,Saint Joseph University of Beirut (USJ),,,,34.8,70.2,59.9,
491-500,University of Guelph,,,40.9,36.9,,46.9,
491-500,Ural Federal University,,,,,73.5,,
501-550,Amirkabir University of Technology,,,91.1,,,,
501-550,Aristotle University of Thessaloniki,,32.4,31.1,,,,
501-550,Chiba University,,,,,62.6,,
501-550,Chonbuk National University,,,,,52.8,,
501-550,City University of New York,,38.5,,,,,
501-550,Clark University,,,46.3,,37.9,,81.2
501-550,Drexel University,,,26.7,,36.8,37,51.8
501-550,East China Normal University,,,28,,33,29.6,47.4
501-550,Indian Institute of Technology Guwahati (IITG),,,59.5,,,,
501-550,"Kingston University, London",,,,35.8,,68.2,96.8
501-550,Lappeenranta University of Technology,,,52.6,,25,28.2,40.4
501-550,Lehigh University,,,47.6,,34.9,,49.5
501-550,Auezov South Kazakhstan State University (SKSU),,,,,82.5,18.6,
501-550,Murdoch University,,,,,,87.4,53.6
501-550,"National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute""",,,,,71.1,,
501-550,The National University of Science and Technology MISIS,,,,,62.3,,62.8
501-550,Okayama University,,,,,78.2,,
501-550,RUDN University,,,,,66.2,,83.3
501-550,Pontifícia Universidade Católica de São Paulo,,,,41.7,55.2,,
501-550,Pontifícia Universidade Católica do Rio de Janeiro,,40.2,,,,,
501-550,Southeast University,,,45.5,,30.8,,
501-550,Syracuse University,,,28.3,,,,61.1
501-550,Technische Universität Braunschweig,,,,38.6,62.4,,36.4
501-550,Graz University of Technology,,,23.5,,43.6,,40.7
501-550,The Catholic University of Korea,,,,,91.1,,
501-550,University of Granada,,39.5,,,,,21.6
501-550,Universidad de Montevideo (UM),,,,,56.3,,
501-550,Universidade Federal de São Paulo,,,,,68.5,,
501-550,Universidade Federal do Rio Grande Do Sul,,35.8,,,,44.6,
501-550,Universität des Saarlandes,,,28.9,,26.4,63.1,53.2
501-550,University of Hohenheim,,,62.3,,,26.9,29.7
501-550,Universität  Leipzig,,31.6,,,,,29
501-550,Universität Regensburg,,,32.5,,26,36,
501-550,Université Claude Bernard Lyon 1,,31.2,27.8,,,,
501-550,University of Bordeaux,,38.8,,,,25.1,
501-550,Université de Fribourg,,,56.5,,,,50.3
501-550,Université du Québec,,31.8,,,,35.1,
501-550,Université Paul Sabatier Toulouse III,,32,,,31.5,,36.8
501-550,University of Aveiro,,,56.8,,,,
501-550,University of Baghdad,,30.9,,,46.2,,
501-550,University of Cincinnati,,,39.7,,29.3,,
501-550,University of Limerick,,,,37.8,,96,
501-550,University of Macau,,,27,,,100,96.3
501-550,University of Nebraska-Lincoln,,,33.1,,,81,30
501-550,University of Oklahoma,,,,,59.4,29.2,
501-550,University of Pretoria,,31.9,,47.6,,38.4,
501-550,University of South Florida,,,51.2,,,47.1,32.4
501-550,University of Szeged,,,,,46.6,,50
501-550,Yokohama City University,,,,,99.3,,
551-600,Abo Akademi University,,,32,,37.2,43.5,23.9
551-600,Ateneo de Manila University,,30.6,,47.4,25.4,,
551-600,Bar-Ilan University,,,44.7,,,60.4,
551-600,Beihang University (former BUAA),,,38.8,,,,
551-600,Chiang Mai University,,38.9,,,,,
551-600,College of William & Mary,,,27.2,,38.4,,
551-600,Coventry University,,,,40.3,,61.4,99.8
551-600,Dalian University of Technology,,,61.6,,,,
551-600,East China University of Science and Technology,,,67.6,,,,
551-600,Flinders University,,,28.3,,,26.1,51
551-600,Howard University,,,,,75.7,,
551-600,Instituto Tecnológico de Buenos Aires (ITBA),,,,36.3,58.8,,
551-600,Iran University of Science and Technology,,,95.2,,,,
551-600,Justus-Liebig-University Giessen,,,58,,,,
551-600,Kanazawa University,,,,,62.2,,
551-600,Kumamoto University,,,,,71.2,,
551-600,"Lingnan University, Hong Kong",,,,,27.8,99.9,41.7
551-600,Masaryk University,,,,,,,72.8
551-600,Michigan Technological University,,,39.2,,30.4,,44.2
551-600,Nagasaki University,,,,,85.4,,
551-600,National Research Saratov State University,,,,,99.9,,
551-600,Osaka City University,,,,,60.2,,
551-600,Philipps-Universität Marburg,,,,,30.4,20.6,28.2
551-600,Sejong University,,,,38.8,25.2,,
551-600,Shandong University,,,32.7,,,,
551-600,Sichuan University,,,32.2,,,,
551-600,South China University of Technology,,,58.3,,,,
551-600,Southern Federal University,,,,,89.2,,
551-600,Tokyo University of Agriculture and Technology,,,49.5,,,,
551-600,Umm Al-Qura University,,,,,56,99.5,
551-600,Universidad de Alcalá,,,,,34.2,21,72
551-600,Universidad Nacional de La Plata (UNLP),,42.3,,,,,
551-600,Universidade Federal de Minas Gerais,,36.9,,,,,
551-600,Università degli Studi di Pavia,,,40.1,,,,
551-600,University of Turin,,31.9,27,,,,
551-600,University of Bayreuth,,,37.3,,,36.5,
551-600,Universitat de Valencia,,33.5,,,,,
551-600,"Université Lille 1, Sciences et Technologies",,,,,,20.2,63
551-600,Université Panthéon-Assas (Paris 2),,,,38,64.2,,40.4
551-600,University of Canberra,,,23.2,,,54.6,66.5
551-600,University of Jordan,,28.4,,47,,25.9,33
551-600,University of Kentucky,,,43.2,,,30,
551-600,University of Manitoba,,,22.9,,31.6,,41.2
551-600,University of Mons,,,69,,,31.7,48
551-600,University of Oregon,,,24.5,,,,32.7
551-600,University of Science and Technology Beijing,,,48.7,,,,
551-600,University of Tampere,,,25.8,,25.7,,
551-600,University of Ulsan,,,29.5,,60.8,,
551-600,University of Vermont,,,24.2,,61.6,,
551-600,University of Westminster,,,,,,82.2,99.9
551-600,Vilnius Gediminas Technical University,,,,45.6,35.5,,29.6
551-600,Western Sydney University,,,,,,97.8,38.3
601-650,American University in Dubai,,,,42.5,,100,100
601-650,Brno University of Technology,,,,46.3,,,60.6
601-650,Central Queensland University,,,,,29.3,97.9,90
601-650,Chonnam National University,,,,,51.5,,
601-650,Far Eastern Federal University,,,,,76,,40.1
601-650,Indiana University-Purdue University Indianapolis,,,,,72.5,,
601-650,Inha University,,,,,57.7,,
601-650,Istanbul Technical University,,,,60.5,,,
601-650,ITMO University,,,,,63,,41.6
601-650,Jadavpur University,,,42,,27.5,,
601-650,Jordan University of Science & Technology,,,,36.7,,,63.4
601-650,Keele University,,,25.4,,29.7,46.6,66.1
601-650,Lanzhou University,,,63,,,,
601-650,Lebanese American University,,,,35.6,,95,56.5
601-650,National Chengchi University,,28.4,,,,,33.9
601-650,National Chung Hsing University,,,46.3,,,,
601-650,National Taipei University of Technology,,,26,,42,21.5,
601-650,The New School,,,,,56,,97.2
601-650,Tallinn University of Technology,,,,40,27.9,27.4,32.5
601-650,TU Dortmund University,,,,52.7,,18.5,
601-650,Thammasat University,,27.7,,,26.5,18.3,
601-650,Universidad Anahuac,,,,43.4,42.3,21.5,
601-650,Universidad de Antioquia,,36.2,,,,,
601-650,Universidad de la Habana,,,,,48.3,,
601-650,University of Salamanca,,,,,,,27.6
601-650,Universidad de San Andrés - UdeSA,,,,36.9,50.3,20.7,
601-650,Universidad de Sevilla,,33.6,,,,,
601-650,Universidad Iberoamericana (UIA),,,,48.8,,,
601-650,Universidade de Santiago de Compostela,,,22.9,,,,
601-650,Universität Duisburg-Essen,,,36.3,,,21.4,56.3
601-650,Université de Sherbrooke,,,,,28.4,61.6,
601-650,Université Nice Sophia Antipolis,,,,,,59.8,65.7
601-650,Universiti Teknologi Petronas (Petronas),,,,,25.1,82.5,49.2
601-650,University of Bradford,,,22.3,,,53,86.5
601-650,University of Haifa,,,31.8,,,,
601-650,University of Houston,,,42,,,,23.8
601-650,University of Hull,,,27.4,,,59.7,55.9
601-650,University of Hyderabad,,,48.1,,,,
601-650,University of Johannesburg,,,,,27.9,61.3,26.7
601-650,University of Kufa,,,,,39.9,,
601-650,University of Massachusetts - Boston,,,31.3,,,,
601-650,"University of Missouri, Columbia",,,24.2,,,22.4,
601-650,University of Portsmouth,,,,,,64.7,81.1
601-650,University of South Carolina,,,30.8,,,28.3,
601-650,University of Tehran,,,34.8,,,,
601-650,Ulster University,,,,35.5,,96.6,
601-650,University of Zagreb,,,,,34.5,,
601-650,Warsaw University of Technology,,,,43.5,,,
651-700,Ajou University,,,,,53.7,,
651-700,Anna University,,,59.5,,,,
651-700,Beijing Foreign Studies University,,,,,44.9,44.2,39.5
651-700,Carleton University,,,27.4,,,25.6,50.3
651-700,Charles Darwin University,,,32.1,,,60.2,99.2
651-700,Clarkson University,,,55.9,,,45.2,
651-700,Dublin Institute of Technology,,,,33.7,,55.2,52.7
651-700,Karaganda State University named after academician E.A.Buketov,,,,,59.7,,
651-700,Eötvös Lorànd University,,,,,,,
651-700,Gifu University,,,,,66.9,,
651-700,Hallym University,,,,,78.9,,
651-700,Instituto Politécnico Nacional (IPN),,,,44.6,25.2,,
651-700,Instituto Tecnológico Autónomo de México (ITAM),,,,50.6,,55.1,
651-700,Kagoshima University,,,,,73.1,,
651-700,Kazakh-British Technical University,,,,33.2,35.8,54.7,
651-700,Konkuk University,,,,,45.1,,
651-700,Kuwait University,,,,,,63.7,34.7
651-700,Louisiana State University,,,52.1,,,,
651-700,Missouri University of Science and Technology,,,50.7,,,50,39.8
651-700,National and Kapodistrian University of Athens,,,28.9,,,,
651-700,Quaid-i-Azam University,,,51.9,,,,
651-700,Riga Technical University,,,,56,,,26.3
651-700,"Rutgers - The State University of New Jersey, Newark",,,,,29.1,33,22.3
651-700,Shanghai International Studies University,,,,,54.3,27.5,23.3
651-700,Stevens Institute of Technology,,,40,,,31.2,98.9
651-700,Temple University,,,,,27.1,,
651-700,Tokyo Metropolitan University,,,34.6,,,,
651-700,Universidad Adolfo Ibàñez,,,,68.8,,41.2,
651-700,Universidad Católica Andres Bello,,28.8,,61.1,,,
651-700,Universidad Central de Venezuela,,,,33.1,,,
651-700,Universidad de Concepción,,,,,,,
651-700,Universidad del Pais Vasco,,,,,45.3,,
651-700,Universidad Torcuato Di Tella,,,,42.2,26.7,,
651-700,Universidade Católica Portuguesa - UCP,,,,54.9,,,
651-700,Universidade de Brasília,,28.5,,,,,
651-700,Universidade Federal de São Carlos (UFSCAR),,,,,43.7,,
651-700,Universität Bielefeld,,27.4,,,,19.1,
651-700,University Duesseldorf,,,26.5,,,,31.5
651-700,Université de Rennes 1,,,,,28.9,18.3,25.1
651-700,University at Albany SUNY,,,45.5,,,,
651-700,University of Alabama,,,38.7,,,,
651-700,University of Crete,,,47.2,,,,
651-700,University of Debrecen,,,,,28.8,,59.3
651-700,University of Ljubljana,,,,,35.6,,
651-700,University of Milano-Bicocca,,,39.6,,,,
651-700,University of Minho,,,41.9,,,,
651-700,University of Seoul,,,,,35.8,,
651-700,University of Windsor,,,67.7,,,,50.3
651-700,Virginia Commonwealth University,,,,,46.1,,
651-700,Worcester Polytechnic Institute,,,28.7,,30.1,32,67.5
701-750,Ain Shams University,,,,50.9,,,
701-750,Airlangga University,,,,,,,
701-750,Beijing Jiaotong University,,,,,,,
701-750,Beijing University of Technology,,,,,,,
701-750,Bournemouth University,,,,,,71.7,63.9
701-750,China Agricultural University,,,31.7,,33.6,,
701-750,Clemson University,,,35.7,,,,
701-750,Comenius University in Bratislava,,,,,34.4,,
701-750,Dankook University,,,,,64.9,,
701-750,De La Salle University,,,,44.2,,,
701-750,Hunan University,,,51.9,,,,
701-750,International Islamic University Malaysia (IIUM),,,,,,43.5,65.5
701-750,Kaunas University of Technology,,,,38.5,32.8,,
701-750,Khazar University,,,,,38.1,61.9,34.6
701-750,Kyungpook National University,,,,,,,
701-750,Lahore University of Management Sciences (LUMS),,,,51.8,,,
701-750,Lobachevsky University,,,,,54.7,,
701-750,London Metropolitan University,,,,,,64.9,99.5
701-750,Manipal Academy of Higher Education,,,,,59.8,,
701-750,Maynooth University,,,,,,79.4,22.3
701-750,Memorial University of Newfoundland,,,,,30.8,,43.5
701-750,Middlesex University,,,,,,85.7,70.9
701-750,"National Technical University  ""Kharkiv Polytechnic Institute""",,,,,58.5,,
701-750,Niigata University,,,,,60,,
701-750,Osaka Prefecture University,,,,,48.1,,
701-750,Palacký University in Olomouc,,,,,30.7,26.2,21.6
701-750,Pontificia Universidad Católica de Valparaíso,,,,,,,
701-750,Rhodes University,,,38.2,,,,56.7
701-750,Smith College,,,,,56.3,,32.8
701-750,Sofia University St. Kliment Ohridski,,,,,37.3,,
701-750,Sophia University,,,,,,31.7,
701-750,Southern Methodist University,,,,,41.2,,39.7
701-750,Texas Tech University,,,,,,53.1,
701-750,Tokyo University of Science,,,26.4,,,,
701-750,Universidad de la República (UdelaR),,,,,28.7,,
701-750,Universidad San Francisco de Quito (USFQ),,,,41,,61.2,
701-750,Universidad Nacional de Córdoba - UNC,,31.5,,,,,
701-750,Ca' Foscari University of Venice,,,,35.4,,31.3,
701-750,University of Genoa,,,26.9,,,,
701-750,University of Modena and Reggio Emilia,,,51.7,,,,
701-750,University of Trieste,,,,,27.4,,
701-750,Universiti Utara Malaysia (UUM),,,,,28.4,32.5,59.7
701-750,University of Brighton,,,,,,48.3,66.4
701-750,University of Bucharest,,,,,,,
701-750,University of Central Florida,,,27,,,,
701-750,University of Denver,,,,,40.5,,
701-750,University of Dhaka,,,,42.6,,,
701-750,University of Kwazulu-Natal,,,,,,52.4,
701-750,University of Latvia,,,,,26.7,,
701-750,University of Patras,,,44.7,,,,
701-750,Plymouth University,,,26.4,,,49.9,34.1
701-750,University of Sharjah,,,,,,100,100
701-750,University of Wyoming,,,30.9,,34.3,,
701-750,Victoria University,,,,,,43,78.7
751-800,Abu Dhabi University,,,,,,100,100
751-800,Alexandria University,,,,43.7,,,
751-800,Al-Imam Muhammed Ibn Saud Islamic University,,,,,28.5,98.5,29.5
751-800,Alpen-Adria-Universitaet Klagenfurt,,,,,,85,67.9
751-800,BELARUSSIAN NATIONAL TECHNICAL UNIVERSITY,,,,,34.6,,
751-800,Bogor Agricultural University,,,,,,,
751-800,Brigham Young University,,,23.2,39.2,,,
751-800,Budapest University of Technology and Economics,,,,,,,
751-800,Edith Cowan University,,,,,,54.1,62.7
751-800,Florida International University,,,,,,,
751-800,Georgia State University,,,27.7,,,,
751-800,Gunma University,,,,,46.3,,
751-800,Hacettepe University,,,,,,,
751-800,Kansas State University,,,,,,,
751-800,Kasetsart University,,29.5,,,,,
751-800,King Faisal University,,,,,,100,
751-800,Loyola University Chicago,,,,,32,,
751-800,Nagoya Institute of Technology (NIT),,,48.7,,,,
751-800,Northumbria University at Newcastle,,,,,,35.7,43.4
751-800,Paris Lodron University of Salzburg,,,,,,,97
751-800,Universidad Autónoma Metropolitana (UAM),,,,,,,
751-800,Universidad de La Sabana,,,,37.9,,,
751-800,Universidad Diego Portales (UDP),,,,33.2,,,
751-800,Universidad Simón Bolívar (USB),,,,,,,
751-800,Universidade Federal de Santa Catarina,,,,,,,
751-800,Universita' degli Studi di Ferrara,,,52.2,,,,
751-800,Università degli Studi di Perugia,,,40.5,,,,
751-800,Università degli studi Roma Tre,,,,,,,
751-800,University of  Lorraine,,,,,,,39.1
751-800,Université de Nantes,,,,,,19.3,23.3
751-800,Université Lumière Lyon 2,,,,,,22.6,48.1
751-800,Université Toulouse 1 Capitole,,,,,,39.8,70.2
751-800,Universiti Teknologi MARA - UiTM,,,,,,,
751-800,University of Brescia,,,52.9,,,,
751-800,University of Calcutta,,,24.4,,,,
751-800,University of Colombo,,,,,,,
751-800,University of Hertfordshire,,,,,,57.7,81.9
751-800,University of Huddersfield,,,,,,43.5,74.4
751-800,University of New Hampshire,,,31.3,,34.6,,
751-800,University of Pécs,,,,,28.1,,54.4
751-800,University of Salford,,,,,,23.3,82.2
751-800,University of Southern Queensland,,,,,,79.4,33.8
751-800,University of Tulsa,,,,,36.8,,77
751-800,Yamaguchi University,,,,,54.9,,
751-800,Yeungnam University,,,,,,25.2,
751-800,Yokohama National University,,,,,30.3,,
801-1000,Adam Mickiewicz University,,,,,,,
801-1000,AGH University of Science and Technology,,,,,,,
801-1000,Al Azhar University,,,,,,,64.2
801-1000,Alexandru Ioan Cuza University,,,,,,,
801-1000,"Aligarh Muslim University (AMU), Aligarh",,,,,,,
801-1000,Ankara Üniversitesi,,,,,,,
801-1000,Aoyama Gakuin University,,,,,,,
801-1000,Athens University of Economics and Business,,,,34.6,,,
801-1000,Auburn University,,,24.5,,,,
801-1000,Australian Catholic University,,,,,,,
801-1000,Babes-Bolyai University,,,,,,,
801-1000,Baku State University,,,,,37.2,,
801-1000,Banaras Hindu University,,,24.9,,,,
801-1000,Baylor University,,,,,,,
801-1000,Benemérita Universidad Autónoma de Puebla,,,,,,,
801-1000,Binghamton University SUNY,,,27.2,,,,41.7
801-1000,"Birla Institute of Technology and Science, Pilani",,,,,,,
801-1000,Birzeit university,,,,,,,
801-1000,Central South University,,,40.3,,,,
801-1000,Charles Sturt University,,,,,,30.7,55
801-1000,Chongqing University,,,26.4,,,,
801-1000,Chungnam National University,,,,,26.4,,
801-1000,Corvinus University of Budapest,,,,,,,36.4
801-1000,Cukurova University,,,,,,,
801-1000,Diponegoro University,,,,,,,
801-1000,Vasyl` Stus Donetsk National University,,,,,41.8,,
801-1000,Doshisha University,,,,,,19.6,
801-1000,Edinburgh Napier University,,,,,,46.6,92.8
801-1000,Feng Chia University,,,,,,,
801-1000,Fordham University,,,,,,20.7,36.7
801-1000,Fu Jen Catholic University,,,,,,,
801-1000,Gazi Üniversitesi,,,,,,,
801-1000,George Mason University,,,,,,,
801-1000,Istanbul University,,,,,,,
801-1000,Kazakh Ablai Khan University of International Relations and World Languages,,,,,36.8,,
801-1000,Kent State University,,,33.6,,,21.1,22.7
801-1000,Khon Kaen University,,,,,,,
801-1000,King Mongkut's University of Technology Thonburi,,,,,,,
801-1000,Kyushu Institute of Technology,,,,,,,
801-1000,University of Lodz,,,,,,,
801-1000,London South Bank University,,,,,,58.2,96
801-1000,Makerere University,,,,,,,
801-1000,Manchester Metropolitan University,,,,,,28.9,38.3
801-1000,Marquette University,,,,,28.7,,
801-1000,Meiji University,,,,,,,
801-1000,Miami University,,,,,,,21.7
801-1000,New Jersey Institute of Technology (NJIT),,,26,,,,71.5
801-1000,Nicolaus Copernicus University,,,,,32.6,,
801-1000,North-West University,,,,,,,
801-1000,Nottingham Trent University,,,,40.9,,46.3,
801-1000,Novosibirsk State Technical University,,,,,,,44
801-1000,Ochanomizu University,,,,,,,
801-1000,Ohio University,,,,,,,
801-1000,Oklahoma State University,,,22.9,,,,
801-1000,Panjab University,,,,,,,
801-1000,Plekhanov Russian University of Economics,,,,,29.7,,
801-1000,Pontificia Universidad Católica del Ecuador (PUCE),,,,,,,
801-1000,Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS),,,,,,,
801-1000,Prince of Songkla University,,,,,,,
801-1000,Ritsumeikan University,,,,,,31.6,
801-1000,Ryerson University,,,30.1,,,,
801-1000,Saitama University,,,,,,,
801-1000,Samara National Research University (Samara University),,,,,46.5,,
801-1000,San Diego State University,,,33.1,,,,
801-1000,Seoul National University of Science and Technology,,,,,,,
801-1000,Institute of Technology Sepuluh Nopember,,,,,,18.9,
801-1000,Shahid Beheshti University (SBU),,,,,,,
801-1000,Shinshu University,,,27.5,,,,
801-1000,Southern Cross University,,,38.1,,,,56.9
801-1000,Sumy State University,,,,,43.1,,32.7
801-1000,Robert Gordon University,,,,,,48.8,70.8
801-1000,Tokai University,,,,,,,
801-1000,Universidad Austral de Chile,,,,,,,
801-1000,Universidad Autónoma de Nuevo León,,,,,,,
801-1000,Universidad Autónoma del Estado de México (UAEMex),,,,,,,
801-1000,Universidad de Castilla-La Mancha,,,,,,,
801-1000,Universidad de Guadalajara (UDG),,,,,,,
801-1000,Universidad de las Américas Puebla (UDLAP),,,,,,34.9,
801-1000,Universidad de los Andes - (ULA) Mérida,,,,,,,
801-1000,Universidad de Monterrey (UDEM),,,,,,,
801-1000,University of Murcia,,,,,,,
801-1000,Universidad de Oviedo,,,,,,,
801-1000,Universidad de Puerto Rico,,,,,,,
801-1000,Universidad de Talca,,,,,,22.6,
801-1000,Universidad de Valparaíso (UV),,,,,,,
801-1000,Universidad del Norte,,,,,,,
801-1000,Universidad del Rosario,,,,,,19.3,
801-1000,Universidad del Valle,,,,,,,
801-1000,Universidad Industrial de Santander - UIS,,,,,,,
801-1000,Universidad Metropolitana,,,,,,,
801-1000,Universidad Nacional Costa Rica,,,,,25.1,,
801-1000,Universidad Nacional de Cuyo,,,,,,,
801-1000,Universidad Nacional de Mar del Plata,,,,,32.2,,
801-1000,Universidad Nacional de Rosario (UNR),,,,,,,
801-1000,Universidad Nacional de Tucumà¡n,,,,,,,
801-1000,Universidad Nacional del Sur,,,,,,,
801-1000,Universidad Nacional Mayor de San Marcos,,,,,,,
801-1000,Universidad Panamericana (UP),,,,,32.6,,
801-1000,Universidad Peruana Cayetano Heredia (UPCH),,,,,,72.5,
