,Emp_Rep,Emp_Rep-14
University of Warsaw,64.4,65.5
Nagoya University,58,65.4
Universidad de Santiago de Chile (USACH),65.3,65.2
Maastricht University,68.8,65.1
University of Helsinki,64.7,65.1
Hanyang University,67.8,64.8
University of Glasgow,68.3,64.7
University of Cape Town,60.6,64.4
McMaster University,60.2,64.3
Deakin University,54.5,64.3
Cardiff University,73.3,64.1
Uppsala University,65.6,64
Universiti Malaya (UM),56.8,64
Universität Frankfurt am Main,64.1,63.8
"The University of Newcastle, Australia (UoN)",59.3,63.8
Universidad Iberoamericana (UIA),56.1,63.8
Middle East Technical University,57.7,63.5
Politecnico di Torino,64.1,63.2
Universidad Austral,65.4,63.1
University of Aberdeen,63.3,63
University of York,70.1,62.8
Lancaster University,69.2,62.7
American University,70,62.6
University of Dhaka,54.1,62.6
University of South Australia,57.9,62.5
University of the Philippines,62.4,62.4
"University of California, Davis",62,62.1
Eindhoven University of Technology,57.3,62.1
Universidad Carlos III de Madrid (UC3M),63.7,61.9
Universidad Católica Andres Bello,67.8,61.8
Istanbul Technical University,56.4,61.6
Kyung Hee University,60.3,61.5
American University of Sharjah,64.4,61.3
University of Groningen,58.5,61.3
Aalto University,58.5,61.3
Indian Institute of Technology Kanpur (IITK),59.7,61.1
University of Otago,53.8,61
Corvinus University of Budapest,65,60.7
Vrije Universiteit Brussel (VUB),64.1,60.5
Bogaziçi Üniversitesi,52.5,60.3
Universität Stuttgart,62.6,60.1
Eberhard Karls Universität Tübingen,51.4,60.1
Heriot-Watt University,63,59.9
Instituto Tecnológico Autónomo de México (ITAM),58.3,59.9
University College Cork,60.7,59.8
Queen Mary University of London,57.4,59.7
University of Waikato,49.6,59.5
Warsaw University of Technology,55.9,59.3
University of Mumbai,55.7,59.2
The University of Western Ontario,62.3,59.1
University Hamburg,55.4,58.9
Ghent University,54.9,58.9
University of Turku,65.3,58.7
Universidad de La Sabana,48.2,58.6
Aalborg University,57.6,58.2
Ateneo de Manila University,55.3,58
University of Science and Technology of China,48.7,57.9
Instituto Politécnico Nacional (IPN),51.4,57.7
TU Dortmund University,55.3,57.5
Indiana University Bloomington,55,57.1
"University of Economics, Prague",60.2,56.7
University of Washington,55.8,56.7
Alma Mater Studiorum - University of Bologna,62.9,56.6
City University of Hong Kong,50.7,56.6
University of Lausanne,55,56.5
Athens University of Economics and Business,52.8,56.5
Lahore University of Management Sciences (LUMS),50.4,56.4
University of Southampton,64,56.3
Brno University of Technology,55.8,56.3
WHU - Otto Beisheim School of Management,55.3,56.2
Aston University,53.5,56
Concordia University,55.9,55.7
Universidad de Belgrano,67,55.6
EBS Business School,59.1,55.6
Instituto Tecnológico de Buenos Aires (ITBA),54.5,55.5
Tongji University,46.6,55.5
Charles University in Prague,55.9,55.2
Curtin University,54.3,54.9
Technical University of Denmark,52.9,54.7
National Tsing Hua University,49,54.1
University of Bucharest,54.7,54
Sogang University,49.7,53.9
American University in Dubai,62.3,53.8
Shanghai University,45.6,53.8
Universidade Nova de Lisboa,51.7,53.7
Boston College,55.7,53.5
Tel Aviv University,47.9,53.3
George Washington University,50.8,53.2
Universidad Tecnológica Nacional (UTN),55.1,53
Griffith University,47.9,52.9
Universidad Torcuato Di Tella,45.6,52.9
Queen's University Belfast,56.6,52.7
Auckland University of Technology (AUT),43.9,52.6
Ain Shams University,55.2,52.5
University of Pretoria,48.6,52.4
Norwegian University of Science And Technology,52.9,52.3
Jagiellonian University,51.2,52
Lebanese American University,43.3,51.8
Universidad ANAHUAC,50.8,51.6
Brigham Young University,48.9,51.6
De La Salle University,51.1,51.5
Freie Universitaet Berlin,62.7,51.4
Wuhan University,45,51
Bilkent University,44.5,50.7
The Ohio State University,57.4,50.6
Beijing Normal University,48.7,50.6
University of Colorado Boulder,51.6,50.4
Universidad de Costa Rica,47.9,50.4
King Fahd University of Petroleum & Minerals,51.7,50.2
Leiden University,55.2,50.1
Universidad de San Andrés - UdeSA,49,49.8
Pontificia Universidad Católica del Perú,48.3,49.8
University of Tsukuba,45.8,49.8
Michigan State University,59.5,49.5
Sapienza University of Rome,54.4,49.3
University of Virginia,49.7,49.3
University of Vienna,57.9,49.2
Dublin City University,49,49.2
University of Basel,48.3,49.2
University of Minnesota,46.3,48.9
National University of Sciences And Technology (NUST) Islamabad,40.9,48.9
Saint-Petersburg State University,46.7,48.5
La Trobe University,41,48.4
"University of North Carolina, Chapel Hill",45.7,48.1
Université Pierre et Marie Curie (UPMC),52.3,47.9
National and Kapodistrian University of Athens,45.9,47.9
Universität Innsbruck,39.7,47.9
Pontificia Universidad Católica de Valparaíso,46.3,47.7
University of Limerick,46.1,47.6
"University of Illinois, Chicago (UIC)",46.7,47.5
University of Twente,39.6,47.5
Moscow State Institute of International Relations (MGIMO University),47.9,47.4
University of Bern,45.4,47.4
Cranfield University,56.6,47.2
Sun Yat-sen University,42.2,47.1
University of Porto,39.9,46.7
University of the Witwatersrand,43.3,46.6
Universiti Sains Malaysia (USM),41.1,46.4
Xi’an Jiaotong University,46,46.2
Technion - Israel Institute of Technology,42.4,46
"Kingston University, London",59.1,45.9
Politécnica de Madrid,53.7,45.8
Universitat Autònoma de Barcelona,47.5,45.7
University of Jordan,53.8,45.6
Université du Québec,46,45.6
"University of California, Irvine",40.9,45.5
Universidade Católica Portuguesa - UCP,45.7,45.4
Swinburne University of Technology,46.7,45.3
Stockholm University,50.8,45.1
University of Santo Tomas,40.4,45.1
King Saud University,45.9,44.8
Leibniz Universität Hannover,41.1,44.8
Universidad Técnica Federico Santa María (USM),42.9,44.7
Massey University,41.2,44.6
York University,49.5,44.4
Hankuk (Korea) University of Foreign Studies,43.2,44.2
Alexandria University,40.8,44.2
BI Norwegian Business School,45,44.1
Jordan University of Science & Technology,51.8,44
Pontifícia Universidade Católica do Rio de Janeiro,40.3,43.9
"National University of Ireland, Galway",45.3,43.8
Virginia Polytechnic Institute and State University,42,43.8
Colorado State University,39,43.8
Simon Fraser University,45.3,43.4
Northumbria University at Newcastle,44.8,43.1
Laval University,39.9,43.1
University of Notre Dame,48.2,42.8
Aristotle University of Thessaloniki,40.3,42.3
University of Oslo,45.4,41.7
Tilburg University,53.9,41.5
Baylor College of Medicine,46.2,41.5
University of Antwerp,40.5,41.3
Universitat Politècnica de Catalunya,42.9,40.9
Wageningen University,40,40.5
Universidad de Concepción,40,40.1
Universidad Politècnica de València,45.2,40
Dublin Institute of Technology,41.7,40
Friedrich-Alexander-Universität Erlangen-Nürnberg,39.3,39.7
Beijing Institute of Technology,39.8,39.5
