"105. Deshamukhya, Atri",,6,2016,7,3
"106. Dhar Chanda, Debadatta",,6,2016,5,1
"107. Goswami, Sunayana",,6,2017,25,3
"108. Indrajit Sharma, B.",,6,2016,8,4
"109. Kundu, Sharbadeb",,6,2015,18,2
"110. Pal, Rajat Kumar",,6,2011,9,7
"111. Pandey, Piyush",,6,2016,9,2
"112. Bhattacharjee, Nivedita",,5,2016,16,3
"113. Bhattacharya, Arnab",,5,2013,13,4
"114. Bhowmik, Aditi",,5,2016,4,1
"115. Choudhury, Amarendranath",,5,2017,25,3
"116. Choudhury, Sudip K.",,5,2016,14,4
"117. Das, Nirmalendu N.",,5,2014,24,4
"118. Das, Ratan",,5,2014,28,6
"119. Das, Sambuddha",,5,2016,4,1
"120. Debnath, Somen",,5,2016,32,4
"121. Dubey, Anuj Kumar",,5,2016,4,1
"122. Gude, Venkatesh",,5,2014,25,4
"123. Kabita, Kh",,5,2016,0,0
"124. Kalita, Gayatri",,5,2016,14,2
"125. Morang, Pranjal",,5,2015,7,2
"126. Nandiraju, V. S Rao",,5,2013,53,5
"126. Nandiraju, V. S Rao",,5,2013,53,5
"127. Nath, Sayantan",,5,2017,20,2
"128. Nath, Sushmita",,5,2016,12,2
"129. Pachuau, Lalduhsanga",,5,2016,10,5
"130. Panda, Piyalee",,5,2014,95,5
"131. Paul, Manoj Kumar",,5,2016,11,3
"132. Paul, Paulomi",,5,2015,5,2
"133. Rajwanshi, Ravi",,5,2016,94,5
"134. Roy, Debjit",,5,2015,12,7
"135. Roy, Subha Gaurab",,5,2014,11,3
"136. Saikia, Hemanta",,5,2014,8,2
"137. Sharma, Brojen Indrajit",,5,2014,8,2
"138. Sharma, Indu P.",,5,2015,16,13
"139. Barman, Bijita",,4,2016,0,0
"",,,Most recent,,
"",,,,,
Name,,Publications,publication,,h-index
"140. Bawari, Meenakshi",,4,2015,1,3
"141. Bhattacharjee, Abhinandan K.",,4,2016,1,4
"142. Bhattacharjee, Kanika",,4,2017,2,1
"143. Boro, Freeman",,4,2016,26,3
"144. Chakraborty, Aloke Kumar",,4,2016,11,6
"145. Chakraborty, Sutapa",,4,2016,14,2
"146. Choudhury, Sabanum",,4,2016,16,2
"147. Das, Shyamanta",,4,2013,8,2
"148. Das, Tapasi K.",,4,2015,10,6
"149. Deb Roy, P.",,4,2015,9,2
"150. Dey, Swayandipta C.",,4,2013,21,4
"151. Dutta, Subhabrata",,4,2013,0,0
"152. Ghosh, Sankar Kumar",,4,2016,11,2
"153. Guite, Jangkhomang",,4,2014,9,2
"154. Islam, Dewan Azharul",,4,2016,7,2
"155. Kumar, Devanand Senthil",,4,2015,49,9
"156. Kumar, Munish",,4,2014,259,8
"157. Laskar, Atiqur Rahman",,4,2013,13,2
"158. Laskar, Boni Amin",,4,2013,32,2
"159. Maity, Shrabanti",,4,2016,1,1
"160. Mazumdar, Kisholay",,4,2016,9,1
"161. Mazumder, Tarikul Huda",,4,2017,5,2
"162. Medhi, Robin",,4,2017,2,1
"163. Mondal, Rajkumar",,4,2016,10,1
"164. Naskar, Subrata",,4,2016,1,1
"165. Nath, Kamal",,4,2016,1,1
"166. Nath, Rahul Kanti",,4,2013,42,6
"167. Pandey, Piyush S.",,4,2017,18,5
"168. Paul, Prosenjit",,4,2016,0,2
"169. Roy, Niranjan",,4,2014,3,1
"170. Sengupta, Sanjib",,4,2016,7,2
"171. Singh, Seram Anil Nil",,4,2016,7,1
"172. Singha, Utsab",,4,2016,26,3
"173. Acharjee, Tapodhir",,3,2016,1,1
"174. Anwar, Siddique",,3,2016,4,1
"175. Awasthi, Jay Prakash",,3,2016,3,1
"176. Basishtha, Subhash",,3,2015,1,1
"",,,Most recent,,
"",,,,,
Name,,Publications,publication,,h-index
"177. Begum, Nazma Jabena",,3,2014,32,8
"178. Begum, Ramie Husneara",,3,2014,34,3
"179. Bhattacharjee, Anindita",,3,2014,2,1
"180. Bhattacharjee, Maloyjo J.",,3,2014,35,3
"181. Bhattacharjee, Nairita",,3,2016,2,1
"182. Bhattacharjee, Satabdi",,3,2014,0,1
"183. Chakraborty, Lopamudra",,3,2013,16,2
"184. Chakraborty, Sarani",,3,2016,4,1
