Aarhus UniversityDenmark,153,149
University of AdelaideAustralia,164,149
University of East AngliaUnited Kingdom,198,149
Sungkyunkwan University (SKKU)South Korea,148,153
VU University AmsterdamNetherlands,136,154
KTH Royal Institute of TechnologySweden,126,155
University of LiverpoolUnited Kingdom,157,157
University of RochesterUnited States of America,121,158
TU Dresden Germany,135,158
Trinity College DublinRepublic of Ireland,138,160
University of MiamiUnited States of America,169,161
Lomonosov Moscow State UniversityRussian Federation,196,161
University of ArizonaUnited States of America,86,163
Pompeu Fabra UniversitySpain,165,164
Yeshiva UniversityUnited States of America,186,164
Technical University of DenmarkDenmark,121,167
"University of California, RiversideUnited States of America",150,167
National Taiwan UniversityTaiwan,155,167
Université Catholique de LouvainBelgium,171,167
University of LeicesterUnited Kingdom,199,167
University of AucklandNew Zealand,175,172
University of AberdeenUnited Kingdom,178,172
Eindhoven University of TechnologyNetherlands,144,176
University of UtahUnited States of America,162,182
Brandeis UniversityUnited States of America,147,185
Paris-Sud UniversityFrance,120,188
Arizona State UniversityUnited States of America,182,189
Boston CollegeUnited States of America,126,190
University of AntwerpBelgium,170,190
Texas A&M UniversityUnited States of America,141,193
"St George’s, University of LondonUnited Kingdom",196,196
Paris Diderot University – Paris 7France,180,199
