Name,,Publications,publication,citations,h-index
"126. Singh, Brajendra Kumar",,29,2017,106,14
"126. Singh, Brajendra Kumar",,29,2017,106,14
"127. Tripathi, Ashok Kumar",,29,2017,192,17
"128. Chauhan., Shive Murat Singh",,28,2016,125,17
"129. Garg, Suresh Kumar",,28,2016,106,13
"130. Kumar, Ashish J.",,28,2016,205,62
"131. Nath, Mahendra",,28,2016,158,15
"132. Pandey, Girdhar K.",,28,2017,166,19
"133. Sharma, Vishal",,28,2013,84,7
"134. Singh, Alka K.",,28,2016,28,3
"135. Singh, Laishram Rajendrakumar",,28,2017,134,12
"136. Banati, Hema",,27,2017,54,5
"137. Bhattacharya, Sambit Nath",,27,2016,89,15
"138. Bose, Mridula S C",,27,2016,158,18
"139. Choudhury, Debajyoti K.",,27,2016,218,22
"140. Kalra, Yogita",,27,2016,25,6
"141. Khurana, Jitendra Paul",,27,2017,450,32
"142. Kumar, Yogesh Arun",,27,2016,264,20
"143. Mathur, Pavan K.",,27,2016,100,11
"144. Prasad, Vinod Bala",,27,2017,113,7
"145. Pratap, Ramendra",,27,2016,94,10
"146. Rathi, Brijesh",,27,2016,81,6
"147. Sakthivel, Ayyamperumal",,27,2016,148,26
"148. Siwal, Davinder",,27,2016,126,8
"149. Verma, Vishal",,27,2016,43,9
"150. Bhatnagar, Pramod Kumar",,26,2017,93,10
"151. Jain, Subhash Chand",,26,2016,255,21
"152. Mehlawat, Mukesh Kumar",,26,2016,92,9
"153. Sharma, Sunil Kumar",,26,2017,92,6
"154. Singh, Ompal N.",,26,2017,35,5
"155. Tiwari, Manisha M.",,26,2017,99,12
"156. Attri, Pankaj",,25,2014,578,21
"157. Avinash, K.",,25,2016,55,17
"158. Bhatla, Satish Chander Hander",,25,2016,105,10
"159. Deswal, Renu",,25,2017,181,13
"160. Dewan, Pooja",,25,2017,81,9
"161. Gaur, Shailendra Nath",,25,2015,381,20
"162. Kotwani, Anita",,25,2017,309,13
"163. Kuhad, Ramesh Chander",,25,2017,46,33
"164. Rao, Kottapalli S.",,25,2016,84,22
"165. Sangwan, Naseer",,25,2016,164,9
"166. Sathiyendiran, Malaichamy",,25,2016,252,19
"167. Aggarwal, Sunny S.",,24,2016,87,6
"168. Arora, Vinod Kumar",,24,2016,69,13
"169. Bhattacherjee, Aranya Bhuti",,24,2014,46,9
"170. Choudhary, B. C.",,24,2017,129,6
"171. Grover, Anil K.",,24,2016,234,26
"172. Gulati, Kavita",,24,2016,69,12
"173. Kakkar, Rita",,24,2017,123,15
"174. Kapoor, Avinashi K.",,24,2015,238,15
"175. Kumari, Vandana",,24,2017,33,6
"176. Ray, Arunabha",,24,2016,69,13
"177. Singh, Prashant Chandra",,24,2017,110,18
"178. Chandra, Amita",,23,2016,387,17
"179. Gupta, Rani C.",,23,2016,139,35
"180. Jain, Anil Kumar Umar",,23,2016,72,22
"181. Kapoor, Avinashi",,23,2017,12,2
"182. Kapoor, Sanjay L.",,23,2017,277,21
"183. Katyal, Anju",,23,2016,169,14
"184. Pardha-Saradhi, P.",,23,2017,179,18
"185. Ramachandran, Vishnampettai Ganapathysubrama",,23,2017,39,10
"186. Sharma, Suresh C.",,23,2017,17,7
"187. Sharma, Vivek",,23,2017,77,7
"188. Singh, Rashmi G.",,23,2016,216,12
"189. Uniyal, Prem Lal",,23,2016,145,8
"190. Verma, Anita Kamra",,23,2016,100,22
"191. Bhatia, Manjeet Singh",,22,2016,24,14
"192. Chhabra, Sunil Kumar",,22,2017,58,17
"193. Deka, Sasanka",,22,2017,244,20
"194. Jha, Arun K.",,22,2014,124,13
"195. Kaur, Iqbal Rajinder",,22,2017,70,10
"196. Kumar, Ashwani Senthil",,22,2016,35,36
"197. Mohanty, Debajyoti",,22,2015,44,6
"198. Pandey, Amita C.",,22,2016,138,13
"199. Pandey, Arun Kumar",,22,2016,42,5
"200. Shrivastava, Jaya Prakash",,22,2016,36,11
"201. Dasgupta, Indranil",,21,2017,88,17
"202. Jain, Sa",,21,2011,921,55
"203. Mohanty, Ranjan Kumar",,21,2013,74,16
"204. Mozumdar, Subho",,21,2015,213,22
"205. Rajam, Manchikatla Venkat",,21,2017,95,22
"206. Sharma, Kapil D.",,21,2017,14,3
"207. Sharma, Sonal K.",,21,2016,43,6
"208. Singh, Ram Babu",,21,2016,31,7
"209. Varma-Basil, Mandira",,21,2016,86,8
"210. Wadhwa, Neelam",,21,2017,31,6
"211. Agarwal, Anil Kumar",,20,2015,94,25
"212. Biju, S. D.",,20,2016,115,15
"213. Gaiha, Raghav",,20,2015,109,13
"214. Garg, Ritika K.",,20,2016,39,5
"215. Gupta, Jaideep B.",,20,2016,32,6
"216. Gupta, Neelima",,20,2016,44,7
"217. Jain, Sh A.",,20,2016,897,55
"218. Kumar, Awanish Kalyan",,20,2016,310,10
"219. Luthra, Pratibha Mehta",,20,2016,70,12
"220. Muttoo, Sunil Kumar",,20,2016,11,4
"221. Prasad, Guntupalli Veera Raghavendra",,20,2017,140,17
"222. Rao, Vadlamudiraghavendra",,20,2016,51,10
"223. Sehgal, Neeta",,20,2015,76,12
"224. Sharma, Cheshta",,20,2017,278,10
"225. Sharma, Savita K.",,20,2017,86,9
"226. Sharma, Sonal C.",,20,2016,51,11
"227. Singh, Jagvinder K.",,20,2015,57,7
"228. Singh, Sunita Somorendro",,20,2016,38,6
"229. Tandon, Vibha",,20,2016,136,18
"230. Baluja, Kasturi L.",,19,2015,36,13
"231. Chakrabarti, Rina",,19,2016,53,14
"232. De, Sudipta",,19,2015,808,16
"233. Koranga, Bipin Singh",,19,2014,14,4
"234. Paliwal, Ayushi",,19,2016,33,4
"235. Sachdeva, Mohinder Pal",,19,2017,40,9
"236. Sharma, Richa C.",,19,2015,139,11
"237. Sharma, Suman Bala",,19,2016,73,14
"238. Susan, Seba",,19,2016,22,5
"239. Tripathi, Madan Mohan",,19,2016,3,2
"240. Aggarwal, Amitesh",,18,2016,25,5
"241. Ahmad, Talat",,18,2017,86,18
"242. Chakraborty, Partha Pratim",,18,2016,107,14
"243. Goel, Shailendra",,18,2016,85,11
"244. Gupta, Bindiya S.",,18,2017,13,8
"245. Indu, S. P.",,18,2016,5,3
"246. Jindal, Rajni P.",,18,2016,7,2
"247. Jogi, Jyotika",,18,2016,30,4
"248. Kalra, Om Prakash",,18,2016,65,10
"249. Mohta, Medha",,18,2017,30,11
"250. Mustafa, Muhammad D.",,18,2016,187,12
"251. Pant, Naresh Chandra",,18,2017,139,12
