University,PUB-14,PUB
University of Bordeaux,40,39.7
University of Granada,39.9,39.7
University of Erlangen-Nuremberg,39.3,39.7
China Agricultural University,39.2,39.7
Case Western Reserve University,39,39.7
Indiana University Bloomington,38.2,39.6
University of Miami,41,39.5
University of Kentucky,39.7,39.4
Xiamen University,37.3,39.4
Autonomous University of Madrid,39,39.3
Iowa State University,38.9,39.3
University of Warwick,38.9,39.3
Cardiff University,42.4,39.2
University of Kansas,39.5,39.2
University of Basel,39.4,39.2
University of Tennessee - Knoxville,39.1,39.2
University of Rochester,40.7,39
Technical University of Denmark,39,39
University of Goettingen,40.2,38.9
Kyung Hee University,40,38.9
National and Kapodistrian University of Athens,39.8,38.9
Delft University of Technology,38.6,38.9
Lanzhou University,36.6,38.9
University of Florence,38.9,38.8
Federal University of Rio Grande do Sul,38.9,38.8
Korea Advanced Institute of Science and Technology,38.7,38.8
Beijing Normal University,37.2,38.8
The Hong Kong Polytechnic University,39.8,38.7
City University of Hong Kong,37.9,38.5
University of Geneva,37.8,38.1
Wayne State University,37.8,38.1
University of Missouri - Columbia,37.2,38.1
University of Cincinnati,39.7,37.9
Florida State University,37.9,37.9
University of Freiburg,37.8,37.9
Tokyo Institute of Technology,38.4,37.8
University of Frankfurt,38.6,37.7
Newcastle University,38.5,37.6
The Hebrew University of Jerusalem,37.2,37.6
University of Southern Denmark,35.5,37.6
Catholic University of Louvain,42.4,37.4
"University of California, Santa Barbara",38.6,37.3
University of Cape Town,35.6,37.3
Karlsruhe Institute of Technology (KIT),38,37.2
"University of Maryland, Baltimore",38.3,37.1
University of Koeln,37.2,37.1
Griffith University,35.1,37.1
Curtin University,34.8,37.1
University of Pisa,38.1,37
Federal University of Minas Gerais,37.9,37
Nankai University,36.5,36.9
Indian Institute of Science,35.7,36.8
Laval University,36.9,36.7
University of Bergen,36.9,36.7
University of Hamburg,36.6,36.6
Icahn School of Medicine at Mount Sinai,35.9,36.6
University of Vienna,37,36.5
Norwegian University of Science and Technology - NTNU,37.3,36.4
Colorado State University,35.5,36.2
University of the Basque Country,35,36.1
Stony Brook University,36.9,36
University of Muenster,36.5,36
University of Hawaii at Manoa,36.3,36
The University of New Mexico - Albuquerque,34.2,36
University of Houston,36.7,35.9
University of South Carolina - Columbia,35.2,35.9
The University of Texas Southwestern Medical Center at Dallas,35.8,35.8
University of Antwerp,35.8,35.8
Paul Sabatier University (Toulouse 3),38.1,35.5
University of Massachusetts Amherst,36,35.5
The George Washington University,34.4,35.5
Deakin University,34.1,35.4
University of Mainz,37.1,35.2
University of Ljubljana,36.1,35.1
University of Connecticut,34.6,35
University of Bochum,36.5,34.9
University of Buenos Aires,36.3,34.9
Tufts University,35.1,34.9
University of Exeter,33.6,34.9
Nanjing Medical University,31.3,34.9
University of Tsukuba,35.7,34.7
Oregon State University,35.3,34.7
University of Strasbourg,35.5,34.6
Chang Gung University,35.1,34.6
Oregon Health and Science University,34.5,34.6
University of Manitoba,35.4,34.5
Durham University,34.1,34.5
East China University of Science and Technology,33.5,34.4
Carnegie Mellon University,34.4,34.3
Dalhousie University,34.1,34.3
Virginia Commonwealth University,34,34.3
Temple University,33.4,34.3
Istanbul University,34.9,34.1
University College Dublin,34.8,34.1
University of Otago,34.6,34.1
Linkoping University,35.1,34
Aristotle University of Thessaloniki,33.8,34
University of Jena,33.8,34
University of Leipzig,34.6,33.8
University of Roma - Tor Vergata,34.1,33.7
Umea University,33.8,33.7
Erasmus University,34.8,33.6
Jagiellonian University,34,33.6
Macquarie University,32.8,33.6
Peking Union Medical College,32.6,33.6
University of Nebraska - Lincoln,34.3,33.4
Louisiana State University - Baton Rouge,34,33.4
Medical University of Vienna,32.9,33.4
Aalto University,32,33.4
University of Quebec,34.7,33.3
University of Wuerzburg,34.4,33.3
University of Zaragoza,33.6,33.3
Technion-Israel Institute of Technology,33.3,33.3
University of Lausanne,33.9,33.2
University of Turku,32.9,33
University of the Witwatersrand,31.9,33
University of Chile,31.1,33
Joseph Fourier University (Grenoble 1),39.6,32.9
University of Coimbra,33.9,32.9
Ben-Gurion University of the Negev,33.8,32.9
University of Lorraine,33.7,32.9
Polytechnic Institute of Milan,33.1,32.9
University of KwaZulu-Natal,31,32.8
Simon Fraser University,33.3,32.7
Queen's University,33.9,32.6
National Tsing Hua University,32.7,32.6
Keio University,34,32.5
University of York,33,32.5
Polytechnic University of Valencia,33.4,32.4
London School of Hygiene & Tropical Medicine,31.9,32.4
University of Colorado at Denver,33.2,32.3
University of Saskatchewan,32.7,32.3
"University of California, Riverside",32.7,32.2
National Chiao Tung University,34.7,32.1
University of Wollongong,31.9,32
The University of Texas Health Science Center at Houston,32.2,31.9
The Hong Kong University of Science and Technology,30.1,31.9
University of Notre Dame,32.1,31.8
University of Guelph,31.1,31.8
Georgetown University,31.9,31.7
Yeshiva University,32.9,31.5
University of Duesseldorf,31,31.5
University of Twente,32.5,31.4
Queen's University Belfast,32.4,31.4
Hannover Medical School,31.5,31.4
University of Aberdeen,31.9,31.3
London School of Economics and Political Science,30.5,31.2
Stellenbosch University,30.2,31.2
Hiroshima University,33.1,31.1
Eindhoven University of Technology,31.9,31.1
University of Santiago Compostela,31.8,31.1
University of Leicester,32.7,31
Trinity College Dublin,32,31
Washington State University,30,31
Cairo University,29.7,31
University of Milan - Bicocca,31.4,30.9
University of Ulm,31.3,30.9
University of Delaware,32.2,30.8
University of Liege,31.5,30.8
Kobe University,30.9,30.8
University of Giessen,30.9,30.8
Catholic University of Chile,30,30.8
University of Pavia,31.4,30.7
"University of Science, Malaysia",31.4,30.6
University of Duisburg-Essen,30.8,30.6
Aalborg University,27.6,30.4
University of Sussex,29,30.3
Lancaster University,29.3,30.1
Pohang University of Science and Technology,30.6,29.9
University of Warsaw,30.6,29.9
Northeastern University,28.8,29.9
Catholic University of Korea,30.3,29.8
Catholic University of the Sacred Heart,30.1,29.8
University of Kiel,31.2,29.7
University of Victoria,30.6,29.7
Chalmers University of Technology,30.2,29.7
Medical University of South Carolina,29.8,29.7
Saint Petersburg State University,28,29.7
Drexel University,28.6,29.5
University of St Andrews,29,29.3
University of Perugia,28.6,29.3
Rice University,30,29.2
Swedish University of Agricultural Sciences,30,29.1
University of Bremen,29.6,29.1
Technical University of Berlin,29.4,29.1
Chiba University,29,29.1
Flinders University,28.5,29.1
"University of California, Santa Cruz",29.4,29
University of Tasmania,27.6,28.9
Vienna University of Technology,29,28.8
University of Eastern Finland,27.9,28.8
George Mason University,27.9,28.7
University of Central Florida,29.3,28.6
University of Marburg,29.5,28.5
University of Oulu,28.8,28.5
"University of Technology, Sydney",28,28.5
University of East Anglia,29.9,28.3
Okayama University,29.6,28.3
University of Palermo,28.6,28.2
Auburn University,28.2,28.2
University of Rennes 1,28.2,28.1
University of Oklahoma - Norman,28.9,28
Polytechnic University of Catalonia,28.7,27.9
Kansas State University,28,27.9
University of Bath,27.5,27.9
Technical University Darmstadt,27.4,27.8
University of Regensburg,28.7,27.7
Bar-Ilan University,28.1,27.7
Ewha Womans University,27.8,27.7
Oklahoma State University,28.5,27.6
The University of Texas at Dallas,27.5,27.6
University of Massachusetts Medical School - Worcester,27.7,27.4
James Cook University,27.3,27.4
University of Oregon,27.1,27.3
University of Surrey,27.5,27
Weizmann Institute of Science,27.3,26.8
Carleton University,26.2,26.8
The University of Reading,28.9,26.7
Thomas Jefferson University,27.7,26.7
University of Stuttgart,27,26.7
University of Parma,25.3,26.7
University of Vermont,26.4,26.6
The University of Texas Health Science Center at San Antonio,27.7,26.5
National Sun Yat-Sen University,27.5,26.5
Ecole Normale Superieure - Paris,26.8,26.4
Clemson University,26.8,26.3
Brigham Young University,26.2,26.3
University of Nice Sophia Antipolis,25.8,26.2
Tulane University,26.6,26.1
University of Halle-Wittenberg,25.7,25.9
Ecole Polytechnique,27,25.6
Dartmouth College,25.6,25.4
University College Cork,26,25.3
Syracuse University,24.8,25.2
University of Trieste,25.4,25.1
Utah State University,23.8,25.1
University of Rostock,26.4,25
Wake Forest University,25.8,25
University of Auvergne,25.6,25
University of Ferrara,25.1,24.9
Rush University,24.7,24.9
University of Hannover,24.5,24.8
