University,Alumini-14,Alumini,,,,,,,
Brandeis University,19.7,19.2,,,0.5,0.0253807107,0.0006441805,,0.0253807107
Complutense University of Madrid,19.7,19.2,,,0.5,0.0253807107,0.0006441805,,0.0253807107
Cairo University,19.7,19.2,,,0.5,0.0253807107,0.0006441805,,0.0253807107
University of Essex,19.7,19.2,,,0.5,0.0253807107,0.0006441805,,0.0253807107
The University of Manchester,19,18.5,,,0.5,0.0263157895,0.0006925208,,0.0263157895
The University of Texas Southwestern Medical Center at Dallas,19,18.5,,,0.5,0.0263157895,0.0006925208,,0.0263157895
University of Pittsburgh-Pittsburgh Campus,19,18.5,,,0.5,0.0263157895,0.0006925208,,0.0263157895
Tufts University,19,18.5,,,0.5,0.0263157895,0.0006925208,,0.0263157895
University of Birmingham,19,18.5,,,0.5,0.0263157895,0.0006925208,,0.0263157895
University of Freiburg,19,18.5,,,0.5,0.0263157895,0.0006925208,,0.0263157895
University of Cape Town,19,18.5,,,0.5,0.0263157895,0.0006925208,,0.0263157895
University of Stuttgart,19,18.5,,,0.5,0.0263157895,0.0006925208,,0.0263157895
University of the Witwatersrand,19,18.5,,,0.5,0.0263157895,0.0006925208,,0.0263157895
Uppsala University,18.2,17.8,,,0.4,0.021978022,0.0004830335,,0.021978022
Leiden University,18.2,17.8,,,0.4,0.021978022,0.0004830335,,0.021978022
The University of Sheffield,18.2,17.8,,,0.4,0.021978022,0.0004830335,,0.021978022
Weizmann Institute of Science,18.2,17.8,,,0.4,0.021978022,0.0004830335,,0.021978022
Dartmouth College,18.2,17.8,,,0.4,0.021978022,0.0004830335,,0.021978022
Queen's University Belfast,18.2,17.8,,,0.4,0.021978022,0.0004830335,,0.021978022
Rockefeller University,17.5,17,,,0.5,0.0285714286,0.0008163265,,0.0285714286
The University of Melbourne,17.5,17,,,0.5,0.0285714286,0.0008163265,,0.0285714286
University of Florida,17.5,17,,,0.5,0.0285714286,0.0008163265,,0.0285714286
University of Leeds,17.5,17,,,0.5,0.0285714286,0.0008163265,,0.0285714286
University of Liverpool,17.5,17,,,0.5,0.0285714286,0.0008163265,,0.0285714286
University of Milan,17.5,17,,,0.5,0.0285714286,0.0008163265,,0.0285714286
University of Nebraska - Lincoln,17.5,17,,,0.5,0.0285714286,0.0008163265,,0.0285714286
The University of Texas at Austin,16.6,16.2,,,0.4,0.0240963855,0.0005806358,,0.0240963855
Rice University,16.6,16.2,,,0.4,0.0240963855,0.0005806358,,0.0240963855
Radboud University Nijmegen,16.6,16.2,,,0.4,0.0240963855,0.0005806358,,0.0240963855
Technical University of Berlin,16.6,16.2,,,0.4,0.0240963855,0.0005806358,,0.0240963855
Northwestern University,15.8,15.4,,,0.4,0.0253164557,0.0006409229,,0.0253164557
Duke University,15.8,15.4,,,0.4,0.0253164557,0.0006409229,,0.0253164557
University of British Columbia,15.8,15.4,,,0.4,0.0253164557,0.0006409229,,0.0253164557
Vanderbilt University,15.8,15.4,,,0.4,0.0253164557,0.0006409229,,0.0253164557
University of Bonn,15.8,15.4,,,0.4,0.0253164557,0.0006409229,,0.0253164557
University of Turin,15.8,15.4,,,0.4,0.0253164557,0.0006409229,,0.0253164557
Beijing Normal University,15.8,15.4,,,0.4,0.0253164557,0.0006409229,,0.0253164557
Flinders University,15.8,15.4,,,0.4,0.0253164557,0.0006409229,,0.0253164557
University of Warsaw,15.8,15.4,,,0.4,0.0253164557,0.0006409229,,0.0253164557
"The Imperial College of Science, Technology and Medicine",14.9,14.5,,,0.4,0.0268456376,0.0007206883,,0.0268456376
"University of California, Santa Barbara",14.9,14.5,,,0.4,0.0268456376,0.0007206883,,0.0268456376
Brown University,14.9,14.5,,,0.4,0.0268456376,0.0007206883,,0.0268456376
University of Arizona,14.9,14.5,,,0.4,0.0268456376,0.0007206883,,0.0268456376
Tohoku University,14.9,14.5,,,0.4,0.0268456376,0.0007206883,,0.0268456376
University of Sydney,14.9,14.5,,,0.4,0.0268456376,0.0007206883,,0.0268456376
The University of Adelaide,14.9,14.5,,,0.4,0.0268456376,0.0007206883,,0.0268456376
University of Buenos Aires,14.9,14.5,,,0.4,0.0268456376,0.0007206883,,0.0268456376
Kobe University,14.9,14.5,,,0.4,0.0268456376,0.0007206883,,0.0268456376
Technical University Darmstadt,14.9,14.5,,,0.4,0.0268456376,0.0007206883,,0.0268456376
Purdue University - West Lafayette,13.9,13.6,,,0.3,0.0215827338,0.0004658144,,0.0215827338
The Australian National University,13.9,13.6,,,0.3,0.0215827338,0.0004658144,,0.0215827338
The University of Western Australia,13.9,13.6,,,0.3,0.0215827338,0.0004658144,,0.0215827338
Aix Marseille University,13.9,13.6,,,0.3,0.0215827338,0.0004658144,,0.0215827338
University of Massachusetts Amherst,13.9,13.6,,,0.3,0.0215827338,0.0004658144,,0.0215827338
University of East Anglia,13.9,13.6,,,0.3,0.0215827338,0.0004658144,,0.0215827338
University of Pisa,13.9,13.6,,,0.3,0.0215827338,0.0004658144,,0.0215827338
University of Vienna,13.9,13.6,,,0.3,0.0215827338,0.0004658144,,0.0215827338
Norwegian University of Science and Technology - NTNU,13.9,13.6,,,0.3,0.0215827338,0.0004658144,,0.0215827338
The University of Auckland,13.9,13.6,,,0.3,0.0215827338,0.0004658144,,0.0215827338
Eotvos Lorand University,13.9,13.6,,,0.3,0.0215827338,0.0004658144,,0.0215827338
University of Vermont,13.9,13.6,,,0.3,0.0215827338,0.0004658144,,0.0215827338
Istanbul University,13.9,13.6,,,0.3,0.0215827338,0.0004658144,,0.0215827338
MINES ParisTech,13.9,13.6,,,0.3,0.0215827338,0.0004658144,,0.0215827338
