University,PUB-14,PUB,,,,,,,
University of Surrey,27.5,27,,,0.5,0.0181818182,0.0003305785,,0.0181818182
Weizmann Institute of Science,27.3,26.8,,,0.5,0.0183150183,0.0003354399,,0.0183150183
Carleton University,26.2,26.8,,,-0.6,-0.0229007634,0.000524445,,0.0229007634
The University of Reading,28.9,26.7,,,2.2,0.0761245675,0.0057949498,,0.0761245675
Thomas Jefferson University,27.7,26.7,,,1,0.036101083,0.0013032882,,0.036101083
University of Stuttgart,27,26.7,,,0.3,0.0111111111,0.0001234568,,0.0111111111
University of Parma,25.3,26.7,,,-1.4,-0.0553359684,0.0030620694,,0.0553359684
University of Vermont,26.4,26.6,,,-0.2,-0.0075757576,5.73921028466499E-005,,0.0075757576
The University of Texas Health Science Center at San Antonio,27.7,26.5,,,1.2,0.0433212996,0.001876735,,0.0433212996
National Sun Yat-Sen University,27.5,26.5,,,1,0.0363636364,0.001322314,,0.0363636364
Ecole Normale Superieure - Paris,26.8,26.4,,,0.4,0.0149253731,0.0002227668,,0.0149253731
Clemson University,26.8,26.3,,,0.5,0.0186567164,0.0003480731,,0.0186567164
Brigham Young University,26.2,26.3,,,-0.1,-0.0038167939,1.45679156226331E-005,,0.0038167939
University of Nice Sophia Antipolis,25.8,26.2,,,-0.4,-0.015503876,0.0002403702,,0.015503876
Tulane University,26.6,26.1,,,0.5,0.0187969925,0.0003533269,,0.0187969925
University of Halle-Wittenberg,25.7,25.9,,,-0.2,-0.0077821012,6.05610985783278E-005,,0.0077821012
Ecole Polytechnique,27,25.6,,,1.4,0.0518518519,0.0026886145,,0.0518518519
Dartmouth College,25.6,25.4,,,0.2,0.0078125,6.10351562500017E-005,,0.0078125
University College Cork,26,25.3,,,0.7,0.0269230769,0.0007248521,,0.0269230769
Syracuse University,24.8,25.2,,,-0.4,-0.0161290323,0.0002601457,,0.0161290323
University of Trieste,25.4,25.1,,,0.3,0.0118110236,0.0001395003,,0.0118110236
Utah State University,23.8,25.1,,,-1.3,-0.0546218487,0.0029835464,,0.0546218487
University of Rostock,26.4,25,,,1.4,0.053030303,0.002812213,,0.053030303
Wake Forest University,25.8,25,,,0.8,0.0310077519,0.0009614807,,0.0310077519
University of Auvergne,25.6,25,,,0.6,0.0234375,0.0005493164,,0.0234375
University of Ferrara,25.1,24.9,,,0.2,0.0079681275,6.34910556975304E-005,,0.0079681275
Rush University,24.7,24.9,,,-0.2,-0.008097166,6.55640971004274E-005,,0.008097166
University of Hannover,24.5,24.8,,,-0.3,-0.012244898,0.0001499375,,0.012244898
Bielefeld University,24.4,24.8,,,-0.4,-0.0163934426,0.000268745,,0.0163934426
Kanazawa University,25.4,24.6,,,0.8,0.031496063,0.000992002,,0.031496063
The University of Dundee,26.1,24.5,,,1.6,0.061302682,0.0037580188,,0.061302682
University of Arkansas at Little Rock,24.7,24.4,,,0.3,0.012145749,0.0001475192,,0.012145749
University of Arkansas at Fayetteville,24.4,24.4,,,0,0,0,,0
San Diego State University,25,24.2,,,0.8,0.032,0.001024,,0.032
Saint Louis University,24.2,24.2,,,0,0,0,,0
University of Innsbruck,24.8,24.1,,,0.7,0.0282258065,0.0007966961,,0.0282258065
Tokyo Medical and Dental University,24.2,23.9,,,0.3,0.0123966942,0.000153678,,0.0123966942
Brunel University,25.4,23.7,,,1.7,0.0669291339,0.004479509,,0.0669291339
Eotvos Lorand University,23.7,23.5,,,0.2,0.0084388186,7.12136587797534E-005,,0.0084388186
Medical University of Graz,24.8,23.4,,,1.4,0.0564516129,0.0031867846,,0.0564516129
University of Wyoming,23.4,23.3,,,0.1,0.0042735043,1.82628387756585E-005,,0.0042735043
King Abdullah University of Science and Technology,20,22.4,,,-2.4,-0.12,0.0144,,0.12
Boston College,22.5,22.3,,,0.2,0.0088888889,7.90123456790118E-005,,0.0088888889
Swinburne University of Technology,21.4,22.3,,,-0.9,-0.0420560748,0.0017687134,,0.0420560748
Technical University of Braunschweig,21.3,22.3,,,-1,-0.0469483568,0.0022041482,,0.0469483568
University of Konstanz,22.7,22.2,,,0.5,0.0220264317,0.0004851637,,0.0220264317
Rensselaer Polytechnic Institute,23.1,22.1,,,1,0.0432900433,0.0018740278,,0.0432900433
University of New Hampshire - Durham,20.9,22,,,-1.1,-0.0526315789,0.0027700831,,0.0526315789
University of Szeged,21.6,21.8,,,-0.2,-0.0092592593,8.57338820301777E-005,,0.0092592593
Ecole Normale Superieure - Lyon,21,21.8,,,-0.8,-0.0380952381,0.0014512472,,0.0380952381
University of Bayreuth,22.7,21.5,,,1.2,0.0528634361,0.0027945429,,0.0528634361
The University of Texas Medical Branch at Galveston,22.9,21.3,,,1.6,0.0698689956,0.0048816766,,0.0698689956
University of Rhode Island,21.5,21.1,,,0.4,0.0186046512,0.000346133,,0.0186046512
University of Essex,20.1,20.7,,,-0.6,-0.0298507463,0.0008910671,,0.0298507463
King Fahd University of Petroleum & Minerals,20.3,19.9,,,0.4,0.0197044335,0.0003882647,,0.0197044335
University of Graz,19.1,19.9,,,-0.8,-0.0418848168,0.0017543379,,0.0418848168
University of Alaska - Fairbanks,20.9,19.3,,,1.6,0.0765550239,0.0058606717,,0.0765550239
Rockefeller University,20.8,19,,,1.8,0.0865384615,0.0074889053,,0.0865384615
Brandeis University,18.4,18.4,,,0,0,0,,0
City University of New York City College,17.9,18,,,-0.1,-0.0055865922,0.00003121,,0.0055865922
"University of Maryland, Baltimore County",17.1,17.8,,,-0.7,-0.0409356725,0.0016757293,,0.0409356725
Scuola Normale Superiore - Pisa,18,17.2,,,0.8,0.0444444444,0.0019753086,,0.0444444444
State University of New York Health Science Center at Brooklyn,16.3,15.3,,,1,0.0613496933,0.0037637849,,0.0613496933
ESPCI ParisTech,15.5,15,,,0.5,0.0322580645,0.0010405827,,0.0322580645
Stockholm School of Economics,9.4,10.2,,,-0.8,-0.085106383,0.0072430964,,0.085106383
MINES ParisTech,8.1,7.8,,,0.3,0.037037037,0.0013717421,,0.037037037
,,,,,,,,,
,,,,,,,0.5463010401,,11.514306618
,,,,,,,0.0011574175,,0.0243947174
,,,,,,,0.0340208386,,
