University,PUB-14,PUB,,,,,,,
Wayne State University,37.8,38.1,,,-0.3,-0.0079365079,6.29881582262553E-005,,0.0079365079
University of Missouri - Columbia,37.2,38.1,,,-0.9,-0.0241935484,0.0005853278,,0.0241935484
University of Cincinnati,39.7,37.9,,,1.8,0.0453400504,0.0020557202,,0.0453400504
Florida State University,37.9,37.9,,,0,0,0,,0
University of Freiburg,37.8,37.9,,,-0.1,-0.0026455026,6.99868424736169E-006,,0.0026455026
Tokyo Institute of Technology,38.4,37.8,,,0.6,0.015625,0.0002441406,,0.015625
University of Frankfurt,38.6,37.7,,,0.9,0.0233160622,0.0005436388,,0.0233160622
Newcastle University,38.5,37.6,,,0.9,0.0233766234,0.0005464665,,0.0233766234
The Hebrew University of Jerusalem,37.2,37.6,,,-0.4,-0.0107526882,0.0001156203,,0.0107526882
University of Southern Denmark,35.5,37.6,,,-2.1,-0.0591549296,0.0034993057,,0.0591549296
Catholic University of Louvain,42.4,37.4,,,5,0.1179245283,0.0139061944,,0.1179245283
"University of California, Santa Barbara",38.6,37.3,,,1.3,0.0336787565,0.0011342586,,0.0336787565
University of Cape Town,35.6,37.3,,,-1.7,-0.047752809,0.0022803308,,0.047752809
Karlsruhe Institute of Technology (KIT),38,37.2,,,0.8,0.0210526316,0.0004432133,,0.0210526316
"University of Maryland, Baltimore",38.3,37.1,,,1.2,0.0313315927,0.0009816687,,0.0313315927
University of Koeln,37.2,37.1,,,0.1,0.002688172,7.22626893282481E-006,,0.002688172
Griffith University,35.1,37.1,,,-2,-0.056980057,0.0032467269,,0.056980057
Curtin University,34.8,37.1,,,-2.3,-0.066091954,0.0043681464,,0.066091954
University of Pisa,38.1,37,,,1.1,0.0288713911,0.0008335572,,0.0288713911
Federal University of Minas Gerais,37.9,37,,,0.9,0.0237467018,0.0005639058,,0.0237467018
Nankai University,36.5,36.9,,,-0.4,-0.0109589041,0.0001200976,,0.0109589041
Indian Institute of Science,35.7,36.8,35.7,36.8,-1.1,-0.0308123249,0.0009493994,,0.0308123249
Laval University,36.9,36.7,,,0.2,0.0054200542,0.000029377,,0.0054200542
University of Bergen,36.9,36.7,,,0.2,0.0054200542,0.000029377,,0.0054200542
University of Hamburg,36.6,36.6,,,0,0,0,,0
Icahn School of Medicine at Mount Sinai,35.9,36.6,,,-0.7,-0.0194986072,0.0003801957,,0.0194986072
University of Vienna,37,36.5,,,0.5,0.0135135135,0.000182615,,0.0135135135
Norwegian University of Science and Technology - NTNU,37.3,36.4,,,0.9,0.0241286863,0.0005821935,,0.0241286863
Colorado State University,35.5,36.2,,,-0.7,-0.0197183099,0.0003888117,,0.0197183099
University of the Basque Country,35,36.1,,,-1.1,-0.0314285714,0.0009877551,,0.0314285714
Stony Brook University,36.9,36,,,0.9,0.0243902439,0.000594884,,0.0243902439
University of Muenster,36.5,36,,,0.5,0.0136986301,0.0001876525,,0.0136986301
University of Hawaii at Manoa,36.3,36,,,0.3,0.0082644628,6.83013455365058E-005,,0.0082644628
The University of New Mexico - Albuquerque,34.2,36,,,-1.8,-0.0526315789,0.0027700831,,0.0526315789
University of Houston,36.7,35.9,,,0.8,0.0217983651,0.0004751687,,0.0217983651
University of South Carolina - Columbia,35.2,35.9,,,-0.7,-0.0198863636,0.0003954675,,0.0198863636
The University of Texas Southwestern Medical Center at Dallas,35.8,35.8,,,0,0,0,,0
University of Antwerp,35.8,35.8,,,0,0,0,,0
Paul Sabatier University (Toulouse 3),38.1,35.5,,,2.6,0.0682414698,0.0046568982,,0.0682414698
University of Massachusetts Amherst,36,35.5,,,0.5,0.0138888889,0.0001929012,,0.0138888889
The George Washington University,34.4,35.5,,,-1.1,-0.0319767442,0.0010225122,,0.0319767442
Deakin University,34.1,35.4,,,-1.3,-0.0381231672,0.0014533759,,0.0381231672
University of Mainz,37.1,35.2,,,1.9,0.051212938,0.002622765,,0.051212938
University of Ljubljana,36.1,35.1,,,1,0.027700831,0.000767336,,0.027700831
University of Connecticut,34.6,35,,,-0.4,-0.0115606936,0.0001336496,,0.0115606936
University of Bochum,36.5,34.9,,,1.6,0.0438356164,0.0019215613,,0.0438356164
University of Buenos Aires,36.3,34.9,,,1.4,0.0385674931,0.0014874515,,0.0385674931
Tufts University,35.1,34.9,,,0.2,0.0056980057,3.24672689345063E-005,,0.0056980057
University of Exeter,33.6,34.9,,,-1.3,-0.0386904762,0.0014969529,,0.0386904762
Nanjing Medical University,31.3,34.9,,,-3.6,-0.1150159744,0.0132286744,,0.1150159744
University of Tsukuba,35.7,34.7,,,1,0.0280112045,0.0007846276,,0.0280112045
Oregon State University,35.3,34.7,,,0.6,0.0169971671,0.0002889037,,0.0169971671
University of Strasbourg,35.5,34.6,,,0.9,0.0253521127,0.0006427296,,0.0253521127
Chang Gung University,35.1,34.6,,,0.5,0.0142450142,0.0002029204,,0.0142450142
Oregon Health and Science University,34.5,34.6,,,-0.1,-0.0028985507,8.40159630329786E-006,,0.0028985507
University of Manitoba,35.4,34.5,,,0.9,0.0254237288,0.000646366,,0.0254237288
Durham University,34.1,34.5,,,-0.4,-0.0117302053,0.0001375977,,0.0117302053
East China University of Science and Technology,33.5,34.4,,,-0.9,-0.0268656716,0.0007217643,,0.0268656716
Carnegie Mellon University,34.4,34.3,,,0.1,0.0029069767,8.45051379123875E-006,,0.0029069767
Dalhousie University,34.1,34.3,,,-0.2,-0.0058651026,3.43994289694776E-005,,0.0058651026
Virginia Commonwealth University,34,34.3,,,-0.3,-0.0088235294,7.78546712802753E-005,,0.0088235294
Temple University,33.4,34.3,,,-0.9,-0.0269461078,0.0007260927,,0.0269461078
Istanbul University,34.9,34.1,,,0.8,0.0229226361,0.0005254472,,0.0229226361
University College Dublin,34.8,34.1,,,0.7,0.0201149425,0.0004046109,,0.0201149425
University of Otago,34.6,34.1,,,0.5,0.0144508671,0.0002088276,,0.0144508671
Linkoping University,35.1,34,,,1.1,0.0313390313,0.0009821349,,0.0313390313
Aristotle University of Thessaloniki,33.8,34,,,-0.2,-0.0059171598,3.50127796645786E-005,,0.0059171598
University of Jena,33.8,34,,,-0.2,-0.0059171598,3.50127796645786E-005,,0.0059171598
University of Leipzig,34.6,33.8,,,0.8,0.0231213873,0.0005345985,,0.0231213873
University of Roma - Tor Vergata,34.1,33.7,,,0.4,0.0117302053,0.0001375977,,0.0117302053
Umea University,33.8,33.7,,,0.1,0.0029585799,8.7531949161434E-006,,0.0029585799
Erasmus University,34.8,33.6,,,1.2,0.0344827586,0.0011890606,,0.0344827586
Jagiellonian University,34,33.6,,,0.4,0.0117647059,0.0001384083,,0.0117647059
Macquarie University,32.8,33.6,,,-0.8,-0.0243902439,0.000594884,,0.0243902439
Peking Union Medical College,32.6,33.6,,,-1,-0.0306748466,0.0009409462,,0.0306748466
