University,N&S-14,N&S,,,,,,,
Flinders University,4.1,5.1,,,-1,-0.243902439,0.0594883998,,0.243902439
University of Zaragoza,3.8,5.1,,,-1.3,-0.3421052632,0.1170360111,,0.3421052632
Federal University of Rio Grande do Sul,4.7,5,,,-0.3,-0.0638297872,0.0040742417,,0.0638297872
Dalian University of Technology,4.6,5,,,-0.4,-0.0869565217,0.0075614367,,0.0869565217
Saint Louis University,4.6,5,,,-0.4,-0.0869565217,0.0075614367,,0.0869565217
Yonsei University,6.6,4.9,,,1.7,0.2575757576,0.0663452709,,0.2575757576
University of Surrey,5.1,4.9,,,0.2,0.0392156863,0.00153787,,0.0392156863
The Hong Kong Polytechnic University,3.8,4.9,,,-1.1,-0.2894736842,0.0837950139,,0.2894736842
National Cheng Kung University,2.7,4.9,,,-2.2,-0.8148148148,0.6639231824,,0.8148148148
East China University of Science and Technology,4.9,4.6,,,0.3,0.0612244898,0.0037484382,,0.0612244898
King Fahd University of Petroleum & Minerals,4.9,4.6,,,0.3,0.0612244898,0.0037484382,,0.0612244898
Oklahoma State University,4.9,4.6,,,0.3,0.0612244898,0.0037484382,,0.0612244898
Aalborg University,3.4,4.6,,,-1.2,-0.3529411765,0.124567474,,0.3529411765
Federal University of Minas Gerais,4.9,4.4,,,0.5,0.1020408163,0.0104123282,,0.1020408163
Medical University of Graz,4.4,4.4,,,0,0,0,,0
National and Kapodistrian University of Athens,3.8,4.4,,,-0.6,-0.1578947368,0.0249307479,,0.1578947368
Kyung Hee University,3.1,4.4,,,-1.3,-0.4193548387,0.1758584807,,0.4193548387
Sichuan University,3.1,4.3,,,-1.2,-0.3870967742,0.1498439126,,0.3870967742
University of Naples Federico II,5.1,4.2,,,0.9,0.1764705882,0.0311418685,,0.1764705882
Soochow University,4.2,4,,,0.2,0.0476190476,0.0022675737,,0.0476190476
Beihang University,4.1,3.9,,,0.2,0.0487804878,0.002379536,,0.0487804878
"University of Technology, Sydney",4.1,3.9,,,0.2,0.0487804878,0.002379536,,0.0487804878
Nanjing Medical University,4.1,3.9,,,0.2,0.0487804878,0.002379536,,0.0487804878
Cairo University,3.8,3.9,,,-0.1,-0.0263157895,0.0006925208,,0.0263157895
Brunel University,3.8,3.6,,,0.2,0.0526315789,0.0027700831,,0.0526315789
MINES ParisTech,3.8,3.6,,,0.2,0.0526315789,0.0027700831,,0.0526315789
University of Szeged,5.7,3.4,,,2.3,0.4035087719,0.162819329,,0.4035087719
Shandong University,3.6,3.4,,,0.2,0.0555555556,0.0030864198,,0.0555555556
Istanbul University,3.3,3.4,,,-0.1,-0.0303030303,0.0009182736,,0.0303030303
