University,Research-17,Research-18
University of St AndrewsUnited Kingdom,44.3,42.5
University of CologneGermany,38.3,42.7
University of OsloNorway,43.1,42.8
Autonomous University of BarcelonaSpain,36.4,36.1
University of NottinghamUnited Kingdom,41.3,41.9
University of SussexUnited Kingdom,37.9,38.1
Lancaster UniversityUnited Kingdom,40.9,40.5
University of Notre DameUnited States,40.7,37.9
University of LausanneSwitzerland,46.6,47.4
Technical University of DenmarkDenmark,30,39.5
University of RochesterUnited States,32.4,34.2
Scuola Superiore Sant'AnnaItaly,33.9,36
TU DresdenGermany,45.6,46.9
Ulm UniversityGermany,38.1,37.4
Case Western Reserve UniversityUnited States,38.9,34.9
University of LeicesterUnited Kingdom,32.4,34.5
Texas A&M UniversityUnited States,57,56.3
University of ArizonaUnited States,42.2,38.7
"University of California, Santa CruzUnited States",35.3,35
Cardiff UniversityUnited Kingdom,36.9,39.3
University of Erlangen-NurembergGermany,43.6,44
University of ViennaAustria,46.6,47.6
Vrije Universiteit AmsterdamNetherlands,40.2,40.7
University of WürzburgGermany,37,42.8
University of Alabama at BirminghamUnited States,,32.8
Nanjing UniversityChina,36.9,47
Tufts UniversityUnited States,34.3,33.4
University of Cape TownSouth Africa,37.2,36.2
"Rutgers, the State University of New JerseyUnited States",49.8,45.3
KTH Royal Institute of TechnologySweden,45.3,46.3
University of MünsterGermany,38.3,42.1
Université Libre de BruxellesBelgium,42.8,42.2
Newcastle UniversityUnited Kingdom,32.1,40.8
University of LiverpoolUnited Kingdom,35.2,34.7
Zhejiang UniversityChina,54.2,63.7
University of LuxembourgLuxembourg,30,32.4
University of TwenteNetherlands,46.7,47
Paris-Sud UniversityFrance,31.1,33.1
École Normale Supérieure de LyonFrance,30.4,37.8
Hong Kong Polytechnic UniversityHong Kong,41.8,48.1
Scuola Normale Superiore di PisaItaly,47.5,33.3
University of AberdeenUnited Kingdom,31.2,33.6
University of MiamiUnited States,17.1,24.4
University of DundeeUnited Kingdom,31,32
University of East AngliaUnited Kingdom,31.1,31.6
Shanghai Jiao Tong UniversityChina,56.5,62.5
Aalto UniversityFinland,29,35.8
University of MassachusettsUnited States,34.8,32.2
University of AucklandNew Zealand,40.8,40.7
Northeastern UniversityUnited States,25.7,26.8
