University,Teaching-17,Teaching-18
Eindhoven University of TechnologyNetherlands,36.6,41.3
University of FloridaUnited States,53.6,52.8
University of St AndrewsUnited Kingdom,45.2,42.9
University of CologneGermany,40.2,39.8
University of OsloNorway,39.7,36
Autonomous University of BarcelonaSpain,39.4,43.3
University of NottinghamUnited Kingdom,41,40.5
University of SussexUnited Kingdom,32.6,34.1
Lancaster UniversityUnited Kingdom,37,37
University of Notre DameUnited States,50.2,49.8
University of LausanneSwitzerland,31.8,30.4
Technical University of DenmarkDenmark,38.3,35.9
University of RochesterUnited States,43.4,41.7
Scuola Superiore Sant'AnnaItaly,44.7,41.6
TU DresdenGermany,42.3,42.8
Ulm UniversityGermany,38.2,37.1
Case Western Reserve UniversityUnited States,50.2,44.4
University of LeicesterUnited Kingdom,30.9,32.2
Texas A&M UniversityUnited States,53.1,50.4
University of ArizonaUnited States,42.9,44.3
"University of California, Santa CruzUnited States",34.7,31.5
Cardiff UniversityUnited Kingdom,31.8,35.8
University of Erlangen-NurembergGermany,38.7,39.8
University of ViennaAustria,41.1,42.6
Vrije Universiteit AmsterdamNetherlands,33.1,32.5
University of WürzburgGermany,34.8,35.8
University of Alabama at BirminghamUnited States,,39.7
Nanjing UniversityChina,41.7,49.6
Tufts UniversityUnited States,48.1,44.1
University of Cape TownSouth Africa,32.4,30.5
"Rutgers, the State University of New JerseyUnited States",47.7,43
KTH Royal Institute of TechnologySweden,42.5,42.3
University of MünsterGermany,40.8,40.3
Université Libre de BruxellesBelgium,26.3,32.4
Newcastle UniversityUnited Kingdom,33.6,33.4
University of LiverpoolUnited Kingdom,35.1,32.7
Zhejiang UniversityChina,51.7,57
University of LuxembourgLuxembourg,29.7,26.8
University of TwenteNetherlands,36.8,35.5
Paris-Sud UniversityFrance,40.6,40.4
École Normale Supérieure de LyonFrance,44.5,40.1
Hong Kong Polytechnic UniversityHong Kong,35,39.1
Scuola Normale Superiore di PisaItaly,54,53.7
University of AberdeenUnited Kingdom,31,30.3
University of MiamiUnited States,43.1,42.5
University of DundeeUnited Kingdom,26.7,26.3
University of East AngliaUnited Kingdom,30.7,29.9
Shanghai Jiao Tong UniversityChina,51.9,53.5
Aalto UniversityFinland,34.4,37.8
University of MassachusettsUnited States,40.4,36.3
University of AucklandNew Zealand,32.8,32.5
Northeastern UniversityUnited States,38.2,35.6
Lomonosov Moscow State UniversityRussian Federation,75.2,74.2
Tilburg UniversityNetherlands,38.8,38.4
Paris-Sorbonne University - Paris 4France,,44.6
"Royal Holloway, University of LondonUnited Kingdom",33.3,33.9
"University of California, RiversideUnited States",32,30
University of GothenburgSweden,30.3,26.7
National Taiwan UniversityTaiwan,51.4,50.4
Aalborg UniversityDenmark,24.2,28.2
University of AntwerpBelgium,34.5,34.6
University of BarcelonaSpain,33.7,32.4
University of BergenNorway,29.8,29.2
"Birkbeck, University of LondonUnited Kingdom",27.4,
University of BolognaItaly,35.6,43.6
Brandeis UniversityUnited States,29.8,28.9
University of CalgaryCanada,34.8,34.6
Chalmers University of TechnologySweden,38.8,35.1
Boston CollegeUnited States,47.3,
CentraleSupélecFrance,35.8,
University of CincinnatiUnited States,37.8,36.9
Copenhagen Business SchoolDenmark,19.8,24.2
University of DelawareUnited States,26.9,27.8
University of Duisburg-EssenGermany,34.1,32.8
ESPCI ParisTechFrance,45.3,
