University,Teaching,Teaching-16
TU Dresden Germany,39.8,41.4
Novosibirsk State UniversityRussian Federation,24.6,41.4
University of GeorgiaUnited States of America,39.7,41.1
Tel Aviv UniversityIsrael,43.5,41
University of IowaUnited States of America,41.9,41
University of Illinois at ChicagoUnited States of America,43,40.9
Nagoya UniversityJapan,37.5,40.8
University of ViennaAustria,35.2,40.8
University of New South WalesAustralia,41.1,40.7
University of NottinghamUnited Kingdom,39.9,40.3
Hokkaido UniversityJapan,38.4,40.3
University of MünsterGermany,30.6,40.3
Autonomous University of BarcelonaSpain,30.4,40.3
University of MassachusettsUnited States of America,44.8,40.2
University of BernSwitzerland,42,40
University of TsukubaJapan,33.4,40
University of StuttgartGermany,30.6,40
"University of California, IrvineUnited States of America",39.5,39.9
McMaster UniversityCanada,38.1,39.8
University of SouthamptonUnited Kingdom,35.2,39.8
University of RochesterUnited States of America,41.9,39.7
University of Colorado BoulderUnited States of America,35,39.7
Lund UniversitySweden,32.6,39.7
University of BaselSwitzerland,41.2,39.5
University of BirminghamUnited Kingdom,42.8,39.4
University of ExeterUnited Kingdom,32,39.4
Tokyo Medical and Dental University (TMDU)Japan,42.7,39.3
University of ReadingUnited Kingdom,32.8,39.3
University of BolognaItaly,31,39.3
Tulane UniversityUnited States of America,40.7,39.1
KTH Royal Institute of TechnologySweden,45.7,39
University of VirginiaUnited States of America,48.7,38.8
University of ArizonaUnited States of America,44.9,38.7
Université Catholique de LouvainBelgium,37.9,38.7
Paris-Sud UniversityFrance,37.3,38.7
Montpellier UniversityFrance,23.7,38.7
University of Western OntarioCanada,38.3,38.6
William & MaryUnited States of America,36.8,38.5
University of KonstanzGermany,30.5,38.5
University of BarcelonaSpain,28.4,38.5
Wuhan UniversityChina,34.1,38.2
Sapienza University of RomeItaly,32.3,38
Rice UniversityUnited States of America,41.7,37.9
Shanghai Jiao Tong UniversityChina,37.9,37.8
Indian Institute of Technology BombayIndia,34.2,37.8
Karlsruhe Institute of TechnologyGermany,40.5,37.7
National Tsing Hua UniversityTaiwan,39.4,37.7
Laval UniversityCanada,35.8,37.5
Maastricht UniversityNetherlands,32.4,37.5
Technical University of DenmarkDenmark,39.9,37.3
Yonsei UniversitySouth Korea,44.5,37.2
Erasmus University RotterdamNetherlands,39.8,37.2
Nanjing UniversityChina,34.6,37.2
University of OttawaCanada,37.9,37.1
Technical University of DarmstadtGermany,36.9,37.1
University of Nebraska Medical CenterUnited States of America,36.4,37
Chalmers University of TechnologySweden,35.7,36.6
University at BuffaloUnited States of America,40.1,36.5
Kyushu UniversityJapan,36.5,36.5
University of ConnecticutUnited States of America,37.6,35.9
Queen’s UniversityCanada,37.3,35.8
Goethe University FrankfurtGermany,28.1,35.8
Aarhus UniversityDenmark,30.9,35.7
University of UtahUnited States of America,38.8,35.6
Autonomous University of MadridSpain,28.6,35.6
Northeastern UniversityUnited States of America,36.4,35.5
University of WaterlooCanada,30.9,35.4
Ulm UniversityGermany,35,35.2
Bielefeld UniversityGermany,27.5,35.2
"Royal Holloway, University of LondonUnited Kingdom",29.1,35.1
University College DublinRepublic of Ireland,31.7,35
Virginia Polytechnic Institute and State UniversityUnited States of America,40.1,34.9
