University,Citation,Citations-16
University of SheffieldUnited Kingdom,74.3,80.1
Paris-Sud UniversityFrance,87.7,79.8
Aarhus UniversityDenmark,66.5,79.8
University of Southern DenmarkDenmark,61.2,79.7
University of ArizonaUnited States of America,74,79.5
National University of SingaporeSingapore,66,79.4
Goethe University FrankfurtGermany,78.8,79.3
University of TübingenGermany,74,79.3
University of LeedsUnited Kingdom,69.3,79.2
University of WürzburgGermany,81.4,79.1
University of VictoriaCanada,86.7,79
University of BarcelonaSpain,79.7,78.9
McGill UniversityCanada,76,78.9
University of St AndrewsUnited Kingdom,81.4,78.8
University of GenevaSwitzerland,78.2,78.5
University of WarwickUnited Kingdom,68.2,78.2
Technical University of DenmarkDenmark,79.6,77.8
University of SydneyAustralia,69,77.5
University of NottinghamUnited Kingdom,62.7,77.5
University of ManchesterUnited Kingdom,74.3,77.3
Syracuse UniversityUnited States of America,87.1,77.1
Michigan State UniversityUnited States of America,74,76.8
City University of Hong KongHong Kong,68.6,76.8
Linköping UniversitySweden,51.5,76.8
Pohang University of Science and TechnologySouth Korea,84.4,76.7
University of BernSwitzerland,70.1,76.6
Polytechnic University of MilanItaly,55.8,76.3
University of LausanneSwitzerland,76.5,76.2
University of the WitwatersrandSouth Africa,67.3,76
Korea Advanced Institute of Science and Technology (KAIST)South Korea,71.4,75.9
Trinity College DublinRepublic of Ireland,77.6,75.8
University of OsloNorway,66.3,75.5
"Rutgers, the State University of New JerseyUnited States of America",71,75.4
Plymouth UniversityUnited Kingdom,80.5,75.2
University of Erlangen-NurembergGermany,68.7,75.2
University of CologneGermany,65.3,75
Koç UniversityTurkey,58.5,74.9
University of OtagoNew Zealand,57.6,74.9
Indiana UniversityUnited States of America,73.1,74.8
University of PaduaItaly,68,74.6
University of New MexicoUnited States of America,73.1,74.5
Umeå UniversitySweden,52.7,74.5
University of TriesteItaly,88.1,74.1
Karlsruhe Institute of TechnologyGermany,62.9,73.8
Aalborg UniversityDenmark,39.9,73.8
Humboldt University of BerlinGermany,71.9,73.6
University of CreteGreece,67,73.6
University of IowaUnited States of America,71,73.5
University of South FloridaUnited States of America,55.1,73.4
Monash UniversityAustralia,65.7,73.3
University of YorkUnited Kingdom,90.5,73.1
University of BolognaItaly,64.5,73
Simon Fraser UniversityCanada,67.6,72.8
University of GöttingenGermany,92.3,72.7
University of AdelaideAustralia,61.1,72.4
Australian National UniversityAustralia,71.1,72.3
Tokyo Metropolitan UniversityJapan,100,72.2
University of CincinnatiUnited States of America,67.8,72.1
University of FlorenceItaly,60.8,72.1
Colorado School of MinesUnited States of America,97.1,71.8
University of AntwerpBelgium,67.7,71.7
Ghent UniversityBelgium,73.8,71.2
University College DublinRepublic of Ireland,61.7,70.8
Eindhoven University of TechnologyNetherlands,57.3,70.7
Federico Santa María Technical UniversityChile,99.7,70.5
University of Hong KongHong Kong,65.1,70.1
University of DelawareUnited States of America,73.1,70
University of ReadingUnited Kingdom,58.1,69.9
University of AucklandNew Zealand,68.4,69.8
University of MontrealCanada,62.9,69.6
Peking UniversityChina,63.7,69.1
École Normale Supérieure de LyonFrance,73,69
