Universiti Malaya (UM),62,64.4
University of Waterloo,61,64.4
Universidad de los Andes,65.5,64.3
KTH Royal Institute of Technology,64.1,63.8
Cardiff University,63.8,63.8
Michigan State University,69.8,63.5
Universität Frankfurt am Main,64.7,63.1
Sungkyunkwan University (SKKU),68.9,62.9
The Hong Kong Polytechnic University,69.1,62.8
"KIT, Karlsruhe Institute of Technology",64,62.5
University of Otago,62.7,62.3
Karolinska Institutet,60.5,62.2
University College Dublin,62.2,61.5
University of Calgary,54.9,61.3
Lancaster University,59.1,61.2
Washington University in St. Louis,60.4,60.7
Charles University in Prague,57.9,60.7
Queen`s University at Kingston,53.8,60.4
Tel Aviv University,58,60.2
Beijing Normal University,56.4,59.9
Indiana University Bloomington,61.6,59.5
École Normale Supérieure de Lyon,58.3,59.5
University of Gothenburg,52.8,59.5
Pohang University of Science And Technology (POSTECH),56.1,59.4
University of Liverpool,55.1,58.9
University of Florida,65.3,58.8
Erasmus University Rotterdam,55.1,58.8
University of Tsukuba,52.1,57.9
University of Lausanne,53.2,57.3
University of Delhi,50.5,57.3
The University of Western Ontario,50.3,56.9
Indian Institute of Technology Delhi (IITD),55.3,56.8
The University of Exeter,52,56.7
Queen's University Belfast,49.9,56.7
Université Joseph Fourier - Grenoble 1,52.9,56.5
University of Aberdeen,53.6,56.3
University of Porto,49.3,56.2
Aix-Marseille University,58.3,56.1
University of Florence,53.3,55.9
Arizona State University,60.3,55.8
University of Basel,54.5,55.8
The University of Arizona,61,55.7
Saint-Petersburg State University,49.3,55.7
Universite libre de Bruxelles,56.4,55.3
Universiti Sains Malaysia (USM),50.2,55.3
"University of Illinois, Chicago (UIC)",59,55.2
Pontificia Universidad Javeriana,49.7,55.2
University of Pittsburgh,58.2,55.1
University of Virginia,53.7,54.7
Technion - Israel Institute of Technology,54.2,54.6
University of Colorado Boulder,56,54.3
University of the Philippines,47,54
Universidad Nacional de Córdoba - UNC,46,53.2
Newcastle University,49.6,53
University of Warsaw,50.9,52.7
Mahidol University,49.1,52.6
University of Sussex,48.4,52.6
"University of Rome ""Tor Vergata""",47.1,52.5
Universiti Kebangsaan Malaysia (UKM),49,52.1
Wuhan University,49.9,52
Indian Institute of Technology Kanpur (IITK),45.4,52
University of Cologne,52.3,51
University of Coimbra,44,51
Wageningen University,55.6,50.9
University of Ottawa,46.7,50.8
Sun Yat-sen University,45.3,50.7
Aalto University,50.5,50.6
Jawaharlal Nehru University,43.3,50.6
Eindhoven University of Technology,50.5,50.2
University of Bath,51.3,50
Georgetown University,49.8,50
Universidad de Santiago de Chile (USACH),51,49.3
City University of New York,48,49.3
Vanderbilt University,46.6,49.3
Victoria University of Wellington,51.2,49.2
Bandung Institute of Technology (ITB),51.4,49.1
Chalmers University of Technology,48.6,49.1
"The University of Newcastle, Australia (UoN)",43,49.1
Rice University,50.5,49
Radboud University,47,49
University of Naples - Federico II,41.5,48.9
Universität Konstanz,42.9,48.4
University of Turku,41.9,48.4
Pontificia Universidad Católica del Perú,47.9,48
Université Paris-Sud,46.3,47.9
University of Reading,51.1,47.7
Westfälische Wilhelms-Universitat Münster,49.7,47.7
Macquarie University,48.4,47.5
Al-Farabi Kazakh National University,47.6,47.5
Simon Fraser University,41.6,47.3
University of Massachusetts Amherst,53.7,47.2
Technische Universität Dresden,49.2,46.7
University of the Witwatersrand,41.6,46.5
Technical University of Denmark,44.1,46.2
Universität Innsbruck,43.5,46.2
Queensland University of Technology (QUT),47.7,46.1
University of Granada,45,45.7
Universiti Putra Malaysia (UPM),43.5,45.7
Université Claude Bernard Lyon 1,38.1,45.7
Norwegian University of Science And Technology,43.4,45.6
Nankai University,40,45.6
University of Bordeaux,47.8,45.5
Politecnico di Torino,38.8,45.5
University of Turin,38.2,45.5
University of Bergen,47.3,45.4
Universidade Federal de Minas Gerais,39.2,45.3
National Chiao Tung University,37.5,45.1
Universidad Carlos III de Madrid (UC3M),41.8,45
Middle East Technical University,40.6,45
Universitat Pompeu Fabra,42.4,44.9
York University,39.5,44.7
London Business School,43.2,44.5
University of Technology Sydney,48.6,44.3
Jagiellonian University,41.3,44.3
Universidade Federal do Rio Grande Do Sul,38.8,44.3
Instituto Tecnológico y de Estudios Superiores de Monterrey,43.6,44
University of Lisbon,47,43.8
Stellenbosch University,39.9,43.8
Emory University,41.8,43.7
Kobe University,38.4,43.7
University of Antwerp,43.4,43.6
Universidad de Sevilla,41.4,43.6
Vienna University of Technology,47.2,43.4
Aristotle University of Thessaloniki,41.5,43.4
Indian Institute of Technology Madras (IITM),41.4,43.4
Universidade Nova de Lisboa,35.7,43.4
University of Strathclyde,37.4,43.3
King Fahd University of Petroleum & Minerals,37.2,43.3
Dalhousie University,37,43.2
University of Canterbury,49.1,42.8
University of Twente,37.4,42.7
Universidad de Antioquia,39.8,42.6
University of Pretoria,37.9,42.6
Pontifícia Universidade Católica do Rio de Janeiro,43.3,42
Maastricht University,37.5,42
Universidad Católica Andres Bello,36.1,42
George Washington University,41.5,41.7
Universitat Politècnica de Catalunya,43,41.6
Dartmouth College,41.1,41.6
Universität Stuttgart,44.2,41.3
Cairo University,42.9,41.2
Universität Bremen,39.5,41.2
Vrije Universiteit Brussel (VUB),41.4,41.1
National Taiwan Normal University,40.5,41
Karl-Franzens-Universitaet Graz,38.5,41
University of East Anglia (UEA),36.7,40.9
University of Bern,43.8,40.8
University College Cork,44.4,40.6
Friedrich-Alexander-Universität Erlangen-Nürnberg,38.4,40.5
Universiti Teknologi Malaysia,32.8,40.5
Université Paul Sabatier Toulouse III,42.3,40.3
King Saud University,42.2,40.3
Universitat de Valencia,40.7,40.3
Hanyang University,44.3,40.1
University of Notre Dame,42.2,40.1
Weizmann Institute of Science,39.2,40.1
Universidad Austral,36.5,40.1
Xiamen University,34.1,40.1
Université Paris Descartes,37.8,39.9
Griffith University,34.8,39.8
Ateneo de Manila University,32.8,39.8
Massey University,38.7,39.7
Tongji University,37.2,39.6
National Sun Yat-sen University,32.7,39.5
Loughborough University,38.9,39.3
Kyung Hee University,34,39
Université Paris Dauphine,35.6,38.9
Bilkent University,34.7,38.9
Johannes Gutenberg Universität Mainz,36.4,38.6
University of Salamanca,34.7,38.6
Ruhr-Universität Bochum,36.6,38.4
King Abdulaziz University (KAU),34.4,38.3
UNESP,33.4,38.3
RMIT University,44.5,38.2
Virginia Polytechnic Institute and State University,38.7,38.2
University of Rochester,38.9,38.1
"SOAS, University of London",42.2,37.8
University of Trento,32.7,37.8
Laval University,37.6,37.6
Kasetsart University,34.4,37.4
Deakin University,41.2,37.3
Chiang Mai University,35.9,37.3
"National University of Ireland, Galway",34.4,37.3
Technische Universität Darmstadt,34.2,36.9
INSEAD,38.1,36.8
Universität Bielefeld,35.6,36.8
Curtin University,38.9,36.7
Novosibirsk State University,35.1,36.7
"University of California, Santa Cruz",40.1,36.6
Hiroshima University,33.8,36.6
Washington State University,39.1,36.5
Oxford Brookes University,39.3,36.3
Universidad de Costa Rica,42,35.9
Université du Québec,42,35.9
Aalborg University,33.5,35.8
Pusan National University,34.3,35.7
University of Leicester,32.8,35.6
University of Iowa,40.4,35.4
The American University in Cairo,36.8,35.2
University of Navarra,34.4,34.7
Czech Technical University in Prague,32.9,34.7
University of Dundee,34.5,34.5
Universidad de Concepción,32.6,34.3
