Name,Publications,publication,Citation,h-index
"34. Mandal, Bhabani Prasad",44,2016,289,16
"106. Krishna, Amitabh",29,2017,211,16
"167. Singh, Amit Raj",24,2015,191,16
"172. Chakrabarti, Parthsarathi",23,2016,166,16
"179. Sinha, Akhoury Sudhir Kumar",23,2017,166,16
"48. Chand, Ramesh B.",41,2017,113,16
"265. Pandey, Jitendra Kumar",18,2016,104,16
"452. Kumar, Rajesh Ananda",12,2016,102,16
"148. Kumar, Vikas",25,2017,83,16
"273. Singh, Meenakshi K.",18,2016,57,16
"291. Sharma, Neeraj Kumar",17,2016,52,16
"Singh, Sunit Kumar",11,2016,43,16
"402. Das, Parimal K.",13,2017,41,16
"384. Shukla, Kalpana K.",14,2016,15,16
"74. Misra, Arvind",34,2017,478,15
"83. Prakash, Bhanu",32,2016,424,15
"248. Shahid, Mohammad Iqbal Bin",19,2017,339,15
"122. Singh, Vinod Prasad",28,2017,306,15
"404. Gidwani, Kamlesh",13,2015,292,15
"52. Patnaik, Ranjana",40,2016,248,15
"66. Chaube, Shail Kumar",35,2017,195,15
"183. Asthana, Ravi Kumar",22,2017,163,15
"24. Mehta, Neeraj",54,2016,136,15
"111. Singh*, Nand Kishore",29,2015,115,15
"241. Kumar, Amit Kishore Sarin",19,2017,111,15
"128. Deshpande, Shripad Bheemrao",27,2016,109,15
"315. Singh, Devinder Pal",16,2015,107,15
"261. Kumar, Ajay Mv V",18,2015,99,15
"176. Singh, Bashisth Narayan",23,2016,85,15
"198. Srivastava, Abhishek Kumar",22,2016,73,15
"445. Gulati, Anil Kumar Umar",12,2016,59,15
"334. Harsha, A. P.",15,2017,37,15
"Rath, Chandana",11,2015,33,15
"173. Parchur, Abdul Kareem",23,2016,637,14
"9. Singh, Harikesh Bahadur Ahadur",75,2016,618,14
"243. Mishra, Bhuwan Bhushan",19,2017,482,14
"123. Srivastava, Priyanka K.",28,2017,342,14
"169. Tiwari, Mahavir Prasad Rasad",24,2015,290,14
"64. Yadav, Thakur Prasad",36,2016,259,14
"38. Singh, Kedar P.",43,2016,255,14
"125. Upadhyay, Kaushal Kumar",28,2017,242,14
"98. Pandey, Haushila Prasad",30,2016,220,14
"75. Singh, Lakhwinder Pal",34,2016,210,14
"395. Srivastava, Varsha",14,2015,208,14
"116. Dubey, Suresh Kumar",28,2016,207,14
"219. Dwivedi, Yashashchandra",20,2014,170,14
"484. Kumar, Pushpendra Jeevan",11,2014,164,14
"462. Pandey, Sanjay Kumar",12,2015,125,14
"166. Shukla, Hari Shankar",24,2016,124,14
"162. Gautam, Manish Kumar Umar",24,2015,120,14
"186. Chalapathi Rao, N. V.",22,2017,113,14
"101. Singh, Rajesh Kumar N",30,2016,109,14
"203. Dwivedi, Rajiv S.",21,2016,109,14
"446. Joy, Keerikkattil Paily",12,2017,16,14
"267. Raghuvanshi, Dushyant Singh",18,2014,402,13
"309. Prajapati, Vijay Kumar",16,2016,386,13
"152. Patel, Dinesh Kumar",25,2017,302,13
"68. Singh, Nanhai P.",35,2017,294,13
"86. Thakur, Mahendra Kumar",32,2016,257,13
"338. Kumar, Dhananjay Senthil",15,2015,248,13
"146. Vinayak, Manjula",26,2017,213,13
"303. Kumar, Ajit",16,2016,206,13
"245. Rai, A. K.",19,2017,185,13
