Column 1,Column 2,Column 3,Column 4
182 78.2,BI Norwegian Business School,,
183 77.1,Vrije Universiteit Brussel (VUB),,
184 76.9,University of Liverpool,,
185 75.9,Norwegian University of Science And Technology,,
186 75.8,University of Leeds,,
187 75.8,"University of California, Santa Cruz",,
188 75.7,Kazakh-British Technical University,,
189 75.6,Aalto University,,
190 75.3,University of Ottawa,,
191 74.9,Missouri S&T,,
192 74.8,Karolinska Institutet,,
193 74.0,Universiti Teknologi Malaysia,,
194 73.9,Johannes Kepler University Linz,,
195 73.5,Swinburne University of Technology,,
196 73.5,University of Southern Denmark,,
197 73.4,University of Chicago,,
198 72.9,Universiti Kebangsaan Malaysia (UKM),,
199 72.7,Tampere University of Technology,,
200 72.7,University of Nebraska - Lincoln,,
201 71.7,Cardiff University,,
202 71.5,University of Stirling,,
203 71.3,University of East Anglia (UEA),,
204 71.0,Aarhus University,,
205 70.1,University of Cape Town,,
206 70.0,University at Buffalo SUNY,,
207 70.0,University of Amsterdam,,
209 69.5,Bangor University,,
210 69.5,University of Greenwich,,
211 69.4,Aalborg University,,
212 69.2,Erasmus University Rotterdam,,
213 69.1,Rockefeller University,,
214 69.1,Concordia University,,
215 69.1,University of Calgary,,
216 69.0,Lebanese American University,,
217 67.7,Laval University,,
218 67.1,Washington State University,,
219 67.0,University of Oslo,,
220 67.0,Charles Darwin University,,
221 66.7,Leiden University,,
222 66.6,University of Portsmouth,,
223 66.1,WHU - Otto Beisheim School of Management,,
224 65.8,Oxford Brookes University,,
225 65.7,"University of California, Davis",,
226 65.4,University of Michigan,,
227 65.3,Keele University,,
228 65.0,University of Antwerp,,
229 64.7,Aberystwyth University,,
230 64.6,Wuhan University,,
231 64.6,University of Hawai'i at Mañoa,,
232 64.6,University of Pittsburgh,,
233 64.3,London Metropolitan University,,
234 64.1,Sciences Po Paris,,
235 63.9,Swansea University,,
235 62.7,"University of California, Santa Barbara (UCSB)",,
236 62.3,Vienna University of Technology,,
237 62.1,University of Hull,,
238 62.1,University of Illinois at Urbana-Champaign,,
239 61.5,University of Johannesburg,,
240 61.5,Michigan State University,,
241 61.5,"Kingston University, London",,
242 61.3,"University of Illinois, Chicago (UIC)",,
243 60.8,Shanghai Jiao Tong University,,
244 60.1,Freie Universitaet Berlin,,
245 60.0,Technion - Israel Institute of Technology,,
246 59.9,Technische Universität Darmstadt,,
247 59.9,University of Helsinki,,
248 59.4,Utrecht University,,
249 59.2,Universität Konstanz,,
250 59.2,Bilkent University,,
251 59.0,University of Bradford,,
252 58.6,Beijing Normal University,,
253 58.5,Khazar University,,
254 58.5,Oregon State University,,
255 58.3,Albert-Ludwigs-Universitaet Freiburg,,
256 58.3,Qafqaz University,,
257 58.2,University of South Florida,,
258 58.1,"St. George's, University of London",,
259 57.4,"University of California, Los Angeles (UCLA)",,
260 57.1,Ludwig-Maximilians-Universität München,,
261 57.1,"KIT, Karlsruhe Institute of Technology",,
262 57.0,Stellenbosch University,,
263 56.8,Karl-Franzens-Universitaet Graz,,
264 56.6,University of Hertfordshire,,
265 55.8,Ghent University,,
266 55.6,"Ecole normale supérieure, Paris",,
267 55.4,Humboldt-Universität zu Berlin,,
268 54.8,University of Canberra,,
269 54.6,Clarkson University,,
270 54.4,International Islamic University Malaysia (IIUM),,
271 53.9,Université Charles-de-Gaulle Lille 3,,
272 53.9,École Normale Supérieure de Lyon,,
273 53.7,"University of Economics, Prague",,
274 53.6,Universidad San Francisco de Quito (USFQ),,
275 53.4,University of Virginia,,
276 53.3,Edith Cowan University,,
277 53.0,Technische Universität München,,
278 52.9,University of Pennsylvania,,
279 52.8,Plymouth University,,
280 52.8,"University of California, Irvine",,
281 52.7,Charles Sturt University,,
282 52.6,Sabanci University,,
283 52.2,Radboud University,,
284 52.2,Fudan University,,
285 52.0,The Hebrew University of Jerusalem,,
286 51.9,Kuwait University,,
287 51.7,Coventry University,,
288 51.6,University of Wisconsin-Madison,,
